"","Base","Location","State","Coordinates","Major Command","Lat","Long"
"51","Kirtland Air Force Base","Albuquerque","NM","35°02′25″N 106°36′33″W","AFMC",35.0402777777778,-106.609166666667
"52","Memphis International Airport","Memphis, Tennessee","TN","35°02′33″N 089°58′36″W","ANG",35.0425,-89.9766666666667
"53","Pope Field","Fayetteville","NC","35°10′15″N 079°00′52″W","AMC",35.1708333333333,-79.0144444444445
"54","Charlotte Douglas International Airport","Charlotte, North Carolina","NC","35°12′58″N 80°55′55″W","ANG",35.2161111111111,-80.9319444444445
"55","Fort Smith Regional Airport","Fort Smith, Arkansas","AR","35°20′12″N 94°22′03″W","ANG",35.3366666666667,-94.3675
"56","Seymour Johnson Air Force Base","Goldsboro","NC","35°20′22″N 077°57′38″W","ACC",35.3394444444444,-77.9605555555556
"57","Arnold Air Force Base","Tullahoma","TN","35°23′33″N 086°05′09″W","AFMC",35.3925,-86.0858333333333
"58","Will Rogers World Airport Moved to Tinker AFB in 2007[163]","Oklahoma City, Oklahoma","OK","35°23′35″N 097°36′03″W","ANG",35.3930555555556,-97.6008333333333
"59","Tinker Air Force Base","Oklahoma City","OK","35°24′53″N 097°23′12″W","AFMC",35.4147222222222,-97.3866666666667
"60","McGhee Tyson Airport","Knoxville, Tennessee","TN","35°48′39″N 083°59′38″W","ANG",35.8108333333333,-83.9938888888889
"61","Nashville International Airport","Nashville, Tennessee","TN","36°07′36″N 86°40′55″W","ANG",36.1266666666667,-86.6819444444445
"62","Tulsa International Airport","Tulsa, Oklahoma","OK","36°11′54″N 095°53′17″W","ANG",36.1983333333333,-95.8880555555556
"63","Nellis Air Force Base","Las Vegas","NV","36°14′10″N 115°02′03″W","ACC",36.2361111111111,-115.034166666667
"64","Vance Air Force Base","Enid","OK","36°20′22″N 097°55′02″W","AETC",36.3394444444444,-97.9172222222222
"65","Creech Air Force Base","Indian Springs","NV","36°35′14″N 115°40′24″W","ACC",36.5872222222222,-115.673333333333
"66","Fresno Yosemite International Airport","Fresno, California","CA","36°46′34″N 119°43′50″W","ANG",36.7761111111111,-119.730555555556
"67","Joint Base Langley Eustis","Hampton","VA","37°04′58″N 076°21′38″W","ACC",37.0827777777778,-76.3605555555556
"68","Moffett Federal Airfield","Mountain View, California","CA","37°24′54″N 122°02′54″W","ANG",37.415,-122.048333333333
"69","McConnell Air Force Base","Wichita","KS","37°37′23″N 097°16′02″W","AMC",37.6230555555556,-97.2672222222222
"70","Tonopah Test Range Airport","Tonopah","NV","37°47′41″N 116°46′43″W","ACC",37.7947222222222,-116.778611111111
"71","Louisville International Airport","Louisville, Kentucky","KY","38°10′41″N 85°43′29″W","ANG",38.1780555555556,-85.7247222222222
"72","Travis Air Force Base","Fairfield","CA","38°15′46″N 121°55′39″W","AMC",38.2627777777778,-121.9275
"73","McLaughlin Air National Guard Base (Yeager Airport)","Charleston, West Virginia","WV","38°22′23″N 81°35′35″W","ANG",38.3730555555555,-81.5930555555556
"74","Scott Air Force Base","Belleville","IL","38°32′43″N 089°50′07″W","AMC",38.5452777777778,-89.8352777777778
"75","North Highlands Air National Guard Station","Sacramento, California","CA","38°38′24″N 121°24′09″W","ANG",38.64,-121.4025
"76","Whiteman Air Force Base","Knob Noster","MO","38°43′49″N 093°32′53″W","AFGSC",38.7302777777778,-93.5480555555555
"77","Schriever Space Force Base","Colorado Springs","CO","38°48′12″N 104°31′32″W","USSF",38.8033333333333,-104.525555555556
"78","Joint Base Andrews-Naval Air Facility Washington","Camp Springs","MD","38°48′39″N 076°52′01″W","AFDW",38.8108333333333,-76.8669444444444
"79","Peterson Space Force Base","Colorado Springs","CO","38°49′25″N 104°41′42″W","USSF",38.8236111111111,-104.695
"80","Joint Base Anacostia-Bolling","Southwest","MD","38°50′34″N 077°00′58″W","AFDW",38.8427777777778,-77.0161111111111
"81","Forbes Field Airport","Topeka, Kansas","KS","38°57′04″N 095°39′57″W","ANG",38.9511111111111,-95.6658333333333
"82","United States Air Force Academy","Colorado Springs","CO","38°59′25″N 104°51′30″W","USAFA",38.9902777777778,-104.858333333333
"83","Dover Air Force Base","Dover","DE","39°07′42″N 075°27′53″W","AMC",39.1283333333333,-75.4647222222222
"84","Beale Air Force Base","Marysville","CA","39°08′10″N 121°26′11″W","ACC",39.1361111111111,-121.436388888889
"85","Martin State Airport","Middle River, Maryland","MD","39°19′32.38″N 76°24′49.55″W","ANG",39.3255555555556,-76.4136111111111
"86","Eastern WV Regional Airport","Martinsburg, West Virginia","WV","39°24′07″N 77°59′04″W","ANG",39.4019444444444,-77.9844444444445
"87","Atlantic City Air National Guard Base","Atlantic City, New Jersey","NJ","39°26′53″N 074°34′54″W","ANG",39.4480555555556,-74.5816666666667
"88","Terre Haute International Airport","Terre Haute, Indiana","IN","39°27′05″N 087°18′27″W","ANG",39.4513888888889,-87.3075
"89","Reno-Tahoe International Airport","Reno, Nevada","NV","39°29′57″N 119°46′05″W","ANG",39.4991666666667,-119.768055555556
"90","New Castle Airport","New Castle, Delaware","DE","39°41′07″N 075°35′57″W","ANG",39.6852777777778,-75.5991666666667
"91","Buckley Space Force Base","Aurora","CO","39°42′06″N 104°45′06″W","USSF",39.7016666666667,-104.751666666667
"92","Rosecrans Memorial Airport","St. Joseph, Missouri","MO","39°46′19″N 94°54′34.94″W","ANG",39.7719444444444,-94.9094444444444
