Wing,Group,Unit,Location,CONUS/OCONUS,Base,State
480 ISRW,694 ISRG,694 ISS ,"OSAN ABS, KP",OCONUS,OSAN ABS,KP
AFTAC,709 SPTG,709 TMXS DET 403,"OSAN ABS, KP",OCONUS,OSAN ABS,KP
AFTAC,HQ,HQ,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,HQ,OL PG,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SAG,GR HQ,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SAG,21 SURS,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SAG,22 SURS,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SAG,23 ANS ,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SAG,24 ANS,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SAG,USAF RADCHEM LAB OL GT,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SPTG,GR HQ,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SPTG,DET 1 ,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SPTG,709 CYS ,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SPTG,709 SPTS,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
AFTAC,709 SPTG,709 TMXS,"PATRICK AFB, FL",CONUS,PATRICK AFB,FL
70 ISRW,691 ISRG,22 IS OL FD,"PENTAGON, VA",CONUS,PENTAGON,VA
AFTAC,HQ,OL EH,"PENTAGON, VA",CONUS,PENTAGON,VA
70 ISRW,543 ISRG,93 IS OL B,"PETERSON AFB, CO",CONUS,PETERSON AFB,CO
70 ISRW,544 ISRG,GR HQ,"PETERSON AFB, CO",CONUS,PETERSON AFB,CO
70 ISRW,544 ISRG,18 IS DET 1 ,"PETERSON AFB, CO",CONUS,PETERSON AFB,CO
557 WW,2 WXG,2 WSS OL A ,"PETERSON AFB, CO",CONUS,PETERSON AFB,CO
688 CW,690 COG,561 NOS ,"PETERSON AFB, CO",CONUS,PETERSON AFB,CO
480 ISRW,693 ISRG,GR HQ,"RAMSTEIN ABS, DE",OCONUS,RAMSTEIN ABS,DE
480 ISRW,693 ISRG,24 IS ,"RAMSTEIN ABS, DE",OCONUS,RAMSTEIN ABS,DE
480 ISRW,693 ISRG,450 IS,"RAMSTEIN ABS, DE",OCONUS,RAMSTEIN ABS,DE
480 ISRW,693 ISRG,693 ISS ,"RAMSTEIN ABS, DE",OCONUS,RAMSTEIN ABS,DE
688 CW,690 COG,691 COS,"RAMSTEIN ABS, DE",OCONUS,RAMSTEIN ABS,DE
AFTAC,709 SPTG,709 TMXS DET 319 ,"RAMSTEIN ABS, DE",OCONUS,RAMSTEIN ABS,DE
688 CW,5 CCG,GR HQ,"ROBINS AFB, GA",CONUS,ROBINS AFB,GA
688 CW,5 CCG,5 CBCSS,"ROBINS AFB, GA",CONUS,ROBINS AFB,GA
688 CW,5 CCG,51 CBCS ,"ROBINS AFB, GA",CONUS,ROBINS AFB,GA
688 CW,5 CCG,52 CBCS,"ROBINS AFB, GA",CONUS,ROBINS AFB,GA
70 ISRW,691 ISRG,22 IS OL DX,"ROSECRANS, MO",CONUS,ROSECRANS,MO
67 CW,67 COG,390 COS,"SAN ANTONIO CITY, TX",CONUS,SAN ANTONIO CITY,TX
688 CW,690 COG,690 NSS,"SAN ANTONIO CITY, TX",CONUS,SAN ANTONIO CITY,TX
16 AF,HQ,DET 2,"SAN ANTONIO CITY, TX",CONUS,SAN ANTONIO CITY,TX
67 CW,567 COG,GR HQ,"SCOTT AFB, IL",CONUS,SCOTT AFB,IL
67 CW,567 COG,835 COS,"SCOTT AFB, IL",CONUS,SCOTT AFB,IL
67 CW,567 COG,837 COS,"SCOTT AFB, IL",CONUS,SCOTT AFB,IL
70 ISRW,691 ISRG,22 IS OL AM ,"SCOTT AFB, IL",CONUS,SCOTT AFB,IL
70 ISRW,691 ISRG,22 IS OL FP,"SCOTT AFB, IL",CONUS,SCOTT AFB,IL
557 WW,1 WXG,15 OWS,"SCOTT AFB, IL",CONUS,SCOTT AFB,IL
688 CW,690 COG,561 NOS DET 3,"SCOTT AFB, IL",CONUS,SCOTT AFB,IL
16 AF,HQ,OL T,"SCOTT AFB, IL",CONUS,SCOTT AFB,IL
480 ISRW,694 ISRG,303 IS DET 1  OL A ,"SEOUL ABS, KP",OCONUS,SEOUL ABS,KP
363 ISRG,365 ISRG,51 IS ,"SHAW AFB, SC",CONUS,SHAW AFB,SC
557 WW,1 WXG,28 OWS,"SHAW AFB, SC",CONUS,SHAW AFB,SC
319 RW,319 OG,7 RS,"SIGONELLA IAP, IT",OCONUS,SIGONELLA IAP,IT
55 WG,55 OG,95 RS DET 1,"SOUDA BAY, GR",OCONUS,SOUDA BAY,GR
480 ISRW,693 ISRG,485 IS OL FF,"STUTTGART, DE",OCONUS,STUTTGART,DE
16 AF,HQ,OL E,"STUTTGART, DE",OCONUS,STUTTGART,DE
70 ISRW,HQ,70 OSS OL A OL ,"SUFFOLK CITY, VA",CONUS,SUFFOLK CITY,VA
688 CW,38 CEIG,GR HQ,"TINKER AFB, OK",CONUS,TINKER AFB,OK
688 CW,38 CEIG,38 CONS OL A,"TINKER AFB, OK",CONUS,TINKER AFB,OK
688 CW,38 CEIG,38 ES ,"TINKER AFB, OK",CONUS,TINKER AFB,OK
688 CW,38 CEIG,38 OSS,"TINKER AFB, OK",CONUS,TINKER AFB,OK
70 ISRW,543 ISRG,93 IS OL NT3,"TYNDALL AFB, FL",CONUS,TYNDALL AFB,FL
363 ISRG,361 ISRG,OL D,"WILL ROEDGERS ANGB, OK",CONUS,WILL ROEDGERS ANGB,OK
363 ISRG,361 ISRG,306 IS ,"WILL ROEDGERS ANGB, OK",CONUS,WILL ROEDGERS ANGB,OK
70 ISRW,544 ISRG,18 IS ,"WRIGHT PATTERSON AFB, OH",CONUS,WRIGHT PATTERSON AFB,OH
688 CW,690 COG,83 NOS OL A ,"WRIGHT PATTERSON AFB, OH",CONUS,WRIGHT PATTERSON AFB,OH
16 AF,HQ,DET 1 OL SA,"WRIGHT PATTERSON AFB, OH",CONUS,WRIGHT PATTERSON AFB,OH
16 AF,HQ,616 ACOMS OL A,"WRIGHT PATTERSON AFB, OH",CONUS,WRIGHT PATTERSON AFB,OH
70 ISRW,373 ISRG,DET 1,"YOKOTA ABS, JP",OCONUS,YOKOTA ABS,JP
363 ISRG,361 ISRG,43 IS DET 1  OL A,"YOKOTA ABS, JP",OCONUS,YOKOTA ABS,JP
AFTAC,709 SPTG,709 TMXS DET 402,"YOKOTA ABS, JP",OCONUS,YOKOTA ABS,JP
480 ISRW,694 ISRG,303 IS DET 1,"YONGSAN, KP",OCONUS,YONGSAN,KP
