Wing,Group,Unit,Location,CONUS/OCONUS,Base,State
55 WG,55 ECG,42 ECS,"DAVIS-MONTHAN AFB, AZ",CONUS,DAVIS-MONTHAN AFB,AZ
55 WG,55 ECG,43 ECS,"DAVIS-MONTHAN AFB, AZ",CONUS,DAVIS-MONTHAN AFB,AZ
55 WG,55 ECG,755 AMXS,"DAVIS-MONTHAN AFB, AZ",CONUS,DAVIS-MONTHAN AFB,AZ
55 WG,55 ECG,755 OSS,"DAVIS-MONTHAN AFB, AZ",CONUS,DAVIS-MONTHAN AFB,AZ
70 ISRW,543 ISRG,93 IS OL NT,"DAVIS-MONTHAN AFB, AZ",CONUS,DAVIS-MONTHAN AFB,AZ
480 ISRW,548 ISRG,DET 1 ,"DAVIS-MONTHAN AFB, AZ",CONUS,DAVIS-MONTHAN AFB,AZ
557 WW,1 WXG,25 OWS,"DAVIS-MONTHAN AFB, AZ",CONUS,DAVIS-MONTHAN AFB,AZ
363 ISRG,361 ISRG,OL F ,"DENVER CITY, CO",CONUS,DENVER CITY,CO
55 WG,55 OG,488 IS DET 1,"DIGBY CITY, UK",OCONUS,DIGBY CITY,UK
9 RW,9 OG,DET 2,"EDWARDS AFB, CA",CONUS,EDWARDS AFB,CA
AFTAC,709 SPTG,709 TMXS DET 460,"EIELSON AFB, AK",OCONUS,EIELSON AFB,AK
9 RW,9 OG,DET 3,"FAIRFORD RAF, UK",OCONUS,FAIRFORD RAF,UK
70 ISRW,544 ISRG,18 IS DET 4,"FELTWELL STG, UK",OCONUS,FELTWELL STG,UK
70 ISRW,691 ISRG,29 IS OL B,"FT BRAGG, NC",CONUS,FT BRAGG,NC
363 ISRG,361 ISRG,OL B,"FT BRAGG, NC",CONUS,FT BRAGG,NC
688 CW,26 COG,68 NWS OL A,"FT BRAGG, NC",CONUS,FT BRAGG,NC
67 CW,67 COG,DET 1,"FT GORDON, GA",CONUS,FT GORDON,GA
70 ISRW,659 ISRG ,5 IS,"FT GORDON, GA",CONUS,FT GORDON,GA
480 ISRW,480 ISRG,GR HQ,"FT GORDON, GA",CONUS,FT GORDON,GA
480 ISRW,480 ISRG,3 IS ,"FT GORDON, GA",CONUS,FT GORDON,GA
480 ISRW,480 ISRG,31 IS,"FT GORDON, GA",CONUS,FT GORDON,GA
480 ISRW,480 ISRG,451 IS,"FT GORDON, GA",CONUS,FT GORDON,GA
67 CW,67 COG,315 COS,"FT MEADE, MD",CONUS,FT MEADE,MD
67 CW,67 COG,315 COS OL D ,"FT MEADE, MD",CONUS,FT MEADE,MD
67 CW,318 COG,DET 3,"FT MEADE, MD",CONUS,FT MEADE,MD
67 CW,318 COG,OL A ,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,HQ,HQ,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,HQ,70 OSS,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,HQ,70 OSS OL A,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,659 ISRG ,GR HQ,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,659 ISRG ,7 IS,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,659 ISRG ,41 IS,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,691 ISRG,GR HQ,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,691 ISRG,22 IS,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,691 ISRG,22 IS OL D,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,691 ISRG,29 IS,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,691 ISRG,34 IS ,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,707 ISRG ,GR HQ,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,707 ISRG ,32 IS ,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,707 ISRG ,94 IS ,"FT MEADE, MD",CONUS,FT MEADE,MD
70 ISRW,707 ISRG ,707 CS ,"FT MEADE, MD",CONUS,FT MEADE,MD
