Address,State,COUNTRY,Latitude,Longitude,City,State,County,Zip
NG CTC Fort Custer Trng Center,Michigan,United States,47.100599,-88.483267,Senter,MI,Houghton County,49922
NG TS AFRC Los Alamitos,California,United States,33.795012,-118.062692,Los Alamitos,CA,Orange County,90720
NG Camp Sherman Joint Training Center,Ohio,United States,40.06396,-81.529009,Center,OH,Guernsey County,43725
NG McNary Field Salem AASF,Oregon,United States,44.94878,-123.003655,Salem,OR,Marion County,97301
NG Ft Allen Rq 177,Puerto Rico,Puerto Rico,0,0,,,,
NG Bog Brook Training Site,Maine,United States,0,0,,,,
NG TS Ike Skelton Jefferson City,Missouri,United States,38.494029,-92.165194,Jefferson City,MO,Cole County,65101
NG TS Clark Natl Forest Wapp,Missouri,United States,39.295025,-92.374105,Clark,MO,Randolph County,65243
NG Macon TS,Missouri,United States,39.773979,-92.451742,Macon,MO,Macon County,63552
NG Fort McClellan ARNG Tng Center,Alabama,United States,34.264543,-87.587802,Center,AL,Winston County,35565
NG MTA Limestone Hills,Montana,United States,45.477717,-109.902402,Limestone,MT,Stillwater County,59061
NG Cambridge Springs,Pennsylvania,United States,41.803393,-80.059383,Cambridge Springs,PA,Crawford County,16403
NG Johnson City Gray,Tennessee,United States,36.419826,-82.476535,Gray,TN,Washington County,37615
NG MTA Camp Edwards,Massachusetts,United States,41.657052,-70.543918,Camp Edwards,MA,Barnstable County,2542
NG St Cloud NG Armory,Minnesota,United States,45.519196,-94.330619,Saint Cloud,MN,Stearns County,56301
NG Las Cruces,New Mexico,United States,32.290052,-106.753893,Las Cruces,NM,Doña Ana County,88001
NG Rio Rancho TS,New Mexico,United States,35.93873,-104.195805,Roy,NM,Harding County,87743
NG Raleigh,North Carolina,United States,35.773632,-78.634457,Raleigh,NC,Wake County,27601
NG MTC-H Camp Grayling,Michigan,United States,44.691777,-84.612941,Grayling,MI,Crawford County,49738
NG Sparta Armory,Illinois,United States,38.108083,-89.726486,Sparta,IL,Randolph County,62286
NG TS Ethan Allen Range,Vermont,United States,0,0,,,,
NG Jackson County AFRC,West Virginia,United States,0,0,,,,
NG Norman CSMS,Oklahoma,United States,35.208566,-97.44451,Norman,OK,Cleveland County,73019
NG Muskogee AFRC,Oklahoma,United States,35.70582,-95.50025,Muskogee,OK,Muskogee County,74401
NG Baton Rouge AFRC,Louisiana,United States,30.44924,-91.185607,Baton Rouge,LA,East Baton Rouge Parish,70801
NG St Cloud AASF,Minnesota,United States,45.519196,-94.330619,Saint Cloud,MN,Stearns County,56301
NG Rochester NGA and OMS 2,Minnesota,United States,44.075285,-92.516916,Rochester,MN,Olmsted County,55901
NG Rosemount NG Armory,Minnesota,United States,44.73941,-93.12577,Rosemount,MN,Dakota County,55068
NG Mead TS/FMS 06/Utes 02,Nebraska,United States,41.22778,-96.4878,Mead,NE,Saunders County,68041
NG Lincoln AASF/Readiness Center,Nebraska,United States,42.597304,-97.866951,Center,NE,Knox County,68724
NG Grand Island AASF/RC,Nebraska,United States,40.87227,-98.368698,Grand Island,NE,Hall County,68801
NG Gulfport AVCRAD,Mississippi,United States,30.382966,-89.102426,Gulfport,MS,Harrison County,39501
NG Westminster Training Site,Vermont,United States,43.082635,-72.474882,Westminster,VT,Windham County,5158
NG Camp Grafton,North Dakota,United States,48.368876,-97.437265,Grafton,ND,Walsh County,58237
NG Oklahoma Military Department,Oklahoma,United States,35.491608,-97.562817,Oklahoma City,OK,Oklahoma County,73101
NG Lexington AASF No 1,Oklahoma,United States,35.057992,-97.26999,Lexington,OK,Cleveland County,73051
NG Sea Girt NJ NGTC,New Jersey,United States,40.13206,-74.03458,Sea Girt,NJ,Monmouth County,8750
NG Lawrenceville,New Jersey,United States,40.29733,-74.729605,Lawrenceville,NJ,Mercer County,8648
NG Camp Swift,Texas,United States,31.62018,-94.483262,Swift,TX,Nacogdoches County,75961
NG Floyd Edsall Training Center,Nevada,United States,0,0,,,,
NG Elkins AFRC,West Virginia,United States,38.92594,-79.84673,Elkins,WV,Randolph County,26241
NG Camp Murray,Washington,United States,47.11678,-122.56866,Camp Murray,WA,Pierce County,98430
NG Anthony Cometa Complex,Nevada,United States,0,0,,,,
NG Youngstown Tng Site,New York,United States,0,0,,,,
NG Camp Smith Tng Site,New York,United States,40.922326,-72.637078,Smithtown,NY,Suffolk County,11745
NG New Castle Readiness Center/FMS 9,Pennsylvania,United States,40.010352,-79.88588,Century,PA,Fayette County,15417
NG VTS Catoosa,Georgia,United States,0,0,,,,
NG VTS Smyrna,Tennessee,United States,35.959541,-86.53159,Smyrna,TN,Rutherford County,37167
NG Spring City Readiness Center,Pennsylvania,United States,40.17677,-75.54769,Spring City,PA,Chester County,19475
NG MTA Camp Santiago,Puerto Rico,Puerto Rico,0,0,,,,
NG Camp Pendleton SMR,Virginia,United States,0,0,,,,
NG Williamstown,West Virginia,United States,39.367796,-81.455899,Williamstown,WV,Wood County,26187
NG Jackson Airport Armory,Tennessee,United States,35.570424,-88.862742,Jackson,TN,Madison County,38301
NG VTS Milan,Tennessee,United States,35.920312,-88.813982,Milan,TN,Gibson County,38358
NG Camp Bowie - Musgrave (Fed),Texas,United States,33.530011,-97.856849,Bowie,TX,Montague County,76230
NG Camp Mabry,Texas,United States,33.613442,-95.118279,Mabry,TX,Red River County,75426
NG Camp Maxey,Texas,United States,33.703436,-95.751353,Maxey,TX,Lamar County,75421
NG Saginaw,Texas,United States,32.860128,-97.363907,Saginaw,TX,Tarrant County,76179
NG MTA-L Camp Williams,Utah,United States,0,0,,,,
NG Saint George/FMS 5B,Utah,United States,37.185679,-113.609837,Saint George,UT,Washington County,84770
NG Bremerton,Washington,United States,47.606478,-122.634712,Bremerton,WA,Kitsap County,98310
NG Fort Pickett ARNG MTC,Virginia,United States,0,0,,,,
NG Volkstone,West Virginia,United States,0,0,,,,
NG CTC Camp Dawson-Kingwood,West Virginia,United States,39.471673,-79.67596,Kingwood,WV,Preston County,26537
NG MTCH Camp Guernsey,Wyoming,United States,42.256819,-104.786912,Guernsey,WY,Platte County,82214
NG AASF Byrd Field,Virginia,United States,0,0,,,,
NG Mitchell Complex,South Dakota,United States,43.69591,-98.086401,Mitchell,SD,Davison County,57301
NG Ethan Allen AFB MTA,Vermont,United States,0,0,,,,
NG TS Camp Johnson,Vermont,United States,44.642603,-72.735911,Johnson,VT,Lamoille County,5656
NG Camp Williams Tomah MTA,Wisconsin,United States,43.983826,-90.473336,Tomah,WI,Monroe County,54660
NG Ft Ruger,Hawaii,United States,0,0,,,,
NG Kalaeloa,Hawaii,United States,19.828171,-155.49504,,HI,,
NG TS Keaukaha Mil Res,Hawaii,United States,19.730278,-155.046389,Keaukaha,HI,Hawaii County,96720
NG Kansas,Kansas,United States,0,0,,,,
NG Salina KS Training Center,Kansas,United States,0,0,,,,
NG Frankfort Boone NG Center,Kentucky,United States,37.11767,-85.703791,Center,KY,Metcalfe County,42214
NG WH Ford Regional Tng Ctr,Kentucky,United States,37.968496,-84.157766,Ford,KY,Clark County,40320
NG MTA Gunpowder Military Reservation,Maryland,United States,39.380158,-76.295468,Gunpowder,MD,Harford County,21010
NG MTA Camp Fretterd,Maryland,United States,0,0,,,,
NG Havre De Grace Military Res,Maryland,United States,39.560095,-76.15517,Havre De Grace,MD,Harford County,21078
NG MTA Camp Butner,North Carolina,United States,36.13209,-78.75667,Butner,NC,Granville County,27509
NG West Camp,South Dakota,United States,44.0686,-102.44572,Wasta,SD,Pennington County,57791
NG Sioux Falls Benson Rd Complex,South Dakota,United States,0,0,,,,
NG Camp Rapid,South Dakota,United States,0,0,,,,
MCLB Albany,Georgia,United States,31.560674,-84.176751,Albany,GA,Dougherty County,31701
TBR Main,Georgia,United States,32.629579,-83.423511,,GA,,
MCAS Beaufort,South Carolina,United States,32.424353,-80.565343,Beaufort,SC,Beaufort County,29901
MCSF Blount Island (FL),Florida,United States,29.681312,-82.353862,Island Grove,FL,Alachua County,32654
Point of Marsh Target,North Carolina,United States,0,0,,,,
ALF Bogue,North Carolina,United States,0,0,,,,
OLF Atlantic,North Carolina,United States,34.88489,-76.34047,Atlantic,NC,Carteret County,28511
Oak Grove,North Carolina,United States,35.981534,-78.820562,Oak Grove,NC,Durham County,27703
MCAS Cherry Point,North Carolina,United States,34.903793,-76.899976,Cherry Point,NC,Craven County,28533
MCB Camp Lejeune (West Site),North Carolina,United States,0,0,,,,
MCB Camp Lejeune (East Site),North Carolina,United States,34.95682,-79.750056,East Side Park,NC,Richmond County,28379
MCRD Beaufort,South Carolina,United States,32.424353,-80.565343,Beaufort,SC,Beaufort County,29901
MCLB Barstow,California,United States,34.980295,-116.964449,Barstow,CA,San Bernardino County,92311
Yermo Area,California,United States,34.90498,-116.82031,Yermo,CA,San Bernardino County,92398
MCAS Miramar,California,United States,37.492996,-122.456643,Miramar,CA,San Mateo County,94018
Fallbrook California,California,United States,33.390477,-117.209427,Fallbrook,CA,San Diego County,92028
MCB Camp Pendleton,California,United States,33.387723,-117.444758,Camp Pendleton,CA,San Diego County,92055
Former NTC,California,United States,0,0,,,,
MCRD San Diego,California,United States,32.724103,-117.170912,San Diego,CA,San Diego County,92101
Twentynine Palms,California,United States,34.141356,-115.621176,Twentynine Palms,CA,San Bernardino County,92277
MCAS Yuma,Arizona,United States,32.701461,-114.657232,Yuma,AZ,Yuma County,85364
Barry Goldwater Range,Arizona,United States,0,0,,,,
Choc Mt Air Gnry Rng,California,United States,36.57485,-121.840727,Monterey,CA,Monterey County,93940
Marine Corps Museum,Virginia,United States,36.832324,-81.597841,Marion,VA,Smyth County,24354
MCB Quantico,Virginia,United States,38.52602,-77.322803,Quantico,VA,Prince William County,22134
Jacksonville FL Maint,Florida,United States,30.337538,-81.768622,Jacksonville,FL,Duval County,32099
Brooklyn NY,New York,United States,40.68863,-74.018244,New York,NY,New York County,10004
Syracuse MCRC,New York,United States,43.047934,-76.17792,Syracuse,NY,Onondaga County,13204
Pearl City Annex,Hawaii,United States,21.40094,-157.96653,Pearl City,HI,Honolulu County,96782
MCB Camp Smith,Hawaii,United States,0,0,,,,
MC Trng Area Bellows,Hawaii,United States,0,0,,,,
Puuloa-Oahu,Hawaii,United States,20.035356,-155.377961,Paauilo,HI,Hawaii County,96776
MCB Hawaii (Kaneohe Bay),Hawaii,United States,21.40877,-157.7899,Kaneohe,HI,Honolulu County,96744
Craney Island,Virginia,United States,0,0,,,,
Northwest Chesapeake VA,Virginia,United States,36.563725,-76.199476,Chesapeake,VA,Chesapeake city,23322
NAVSUPPACT Mechanicsburg PA,Pennsylvania,United States,40.182917,-77.004599,Mechanicsburg,PA,Cumberland County,17055
NAVSUPPACT Norfolk NSY,Virginia,United States,36.895911,-76.208521,Norfolk,VA,Norfolk city,23501
NNSY South Gate,Virginia,United States,0,0,,,,
NNSY St Helena,Virginia,United States,0,0,,,,
St Juliens Creek East,Virginia,United States,0,0,,,,
Dam Neck,Virginia,United States,0,0,,,,
Lafayette Rvr Complex,Virginia,United States,37.237248,-80.211122,Elliston,VA,Montgomery County,24087
Yorktown Fuel Depot,Virginia,United States,0,0,,,,
Naval Weapons Station Yorktown,Virginia,United States,37.230251,-76.524359,Yorktown,VA,York County,23690
NAS Oceana VA,Virginia,United States,37.825138,-76.80135,Ozeana,VA,Essex County,22454
Waterfront,New Jersey,United States,39.723037,-74.836939,Waterford Works,NJ,Camden County,8089
Naval Weapons Station Earle NJ,New Jersey,United States,39.773448,-75.006278,Erial,NJ,Camden County,8081
Det Phil Pny Annex,Pennsylvania,United States,40.902496,-77.833451,,PA,,
Cheatham Annex,Virginia,United States,36.830785,-79.412735,Chatham,VA,Pittsylvania County,24531
NAVSUPPACT Hampton Roads VA,Virginia,United States,38.855946,-78.590846,Readus,VA,Shenandoah County,22824
SDA Area,Virginia,United States,0,0,,,,
Fire Fighters School,Virginia,United States,0,0,,,,
JEBLCFS East,Virginia,United States,0,0,,,,
Det Philadelphia PA,Pennsylvania,United States,40.001811,-75.11787,Philadelphia,PA,Philadelphia County,19019
JNTEXPBASE Little Creek FS VA,Virginia,United States,0,0,,,,
ALF Fentress Chesapke,Virginia,United States,36.749991,-76.218759,Chesapeake,VA,Chesapeake city,23320
NAVSUBASE New London CT,Connecticut,United States,41.35565,-72.09952,New London,CT,New London County,6320
NAVMEDCEN Portsmouth VA,Virginia,United States,36.811498,-76.367715,Portsmouth,VA,Portsmouth city,23701
Elizabeth Rvr Channel,Virginia,United States,36.837313,-76.150514,Elizabeth River Shores,VA,Virginia Beach city,23462
NSA Saratoga Springs NY,New York,United States,40.68863,-74.018244,New York,NY,New York County,10004
JEBLCFS Wallops Island VA,Virginia,United States,37.918556,-75.490518,Wallops Island,VA,Accomack County,23337
Fort Adams RI,Rhode Island,United States,0,0,,,,
NCTS Cutler VLF Area,Maine,United States,44.65758,-67.20387,Cutler,ME,Washington County,4626
NSY Portsmouth,Maine,United States,0,0,,,,
Redington Township,Maine,United States,0,0,,,,
Gould Island RI,Rhode Island,United States,0,0,,,,
Glenview,Illinois,United States,42.075201,-87.821026,Glenview,IL,Cook County,60025
GL Camp JPJ,Illinois,United States,39.695589,-88.185321,Kemp,IL,Douglas County,61910
Naval Support Activity Crane,Indiana,United States,38.894879,-86.900174,Crane,IN,Martin County,47522
Bratenahl,Ohio,United States,0,0,,,,
Naval Station Newport RI,Rhode Island,United States,41.487552,-71.327084,Newport,RI,Newport County,2840
NAVSTA Norfolk VA,Virginia,United States,0,0,,,,
JBAB Anacostia Bolling,District of Columbia,United States,0,0,,,,
Naval Support Activity Wash,District of Columbia,United States,0,0,,,,
Webster Field,Maryland,United States,0,0,,,,
Solomons Island MD,Maryland,United States,38.33687,-76.46181,Solomons,MD,Calvert County,20688
Arlington Service Ctr,Virginia,United States,38.842325,-77.089736,Arlington,VA,Arlington County,22206
Naval Research Lab,District of Columbia,United States,38.904103,-77.017229,,DC,,
NSWC Carderock,Maryland,United States,38.946658,-76.674494,,MD,,
NAVSUPPACT Bethesda MD,Maryland,United States,39.143979,-77.207617,Bethesda,MD,Montgomery County,20813
Naval Observatory,District of Columbia,United States,38.904103,-77.017229,,DC,,
Tenjo Vista,Guam,Guam,0,0,,,,
Sasa Valley,Guam,Guam,0,0,,,,
Allegany Ballistics Lab,West Virginia,United States,0,0,,,,
Rock Island Arsenal,Illinois,United States,41.517253,-90.539929,Rock Island Arsenal,IL,Rock Island County,61299
Nimitz Hill,Guam,Guam,0,0,,,,
Magazine Reservoir Naval Magazine,Guam,Guam,0,0,,,,
"NAVBASE Guam, Naval Magazine",Guam,Guam,0,0,,,,
NAVBASE Guam,Guam,Guam,13.438296,144.77295,,GU,,
Barrigada,Guam,Guam,13.444257,144.786297,Barrigada,GU,Guam,96913
Apra Heights,Guam,Guam,13.438296,144.77295,,GU,,
Naval Magazine,Guam,Guam,0,0,,,,
Andy South,Guam,Guam,0,0,,,,
Saufley Field,Florida,United States,26.5398,-81.43563,Felda,FL,Hendry County,33930
NAS Pensacola FL,Florida,United States,30.428781,-87.222516,Pensacola,FL,Escambia County,32501
Subase Kings Bay GA,Georgia,United States,30.790547,-81.559737,Kings Bay,GA,Camden County,31547
Corry Station,Florida,United States,0,0,,,,
CBC Gulfport MS,Mississippi,United States,30.382966,-89.102426,Gulfport,MS,Harrison County,39501
OLF Bronson,Florida,United States,29.44774,-82.64233,Bronson,FL,Levy County,32621
Woolmarket (De Soto),Mississippi,United States,30.467697,-88.995868,Wool Market,MS,Harrison County,39532
Keyport NUWC,Washington,United States,47.698025,-122.625529,Keyport,WA,Kitsap County,98345
NAS Whidbey Island WA,Washington,United States,46.21405,-119.175728,Island View,WA,Benton County,99336
Shipyard Puget Sound,Washington,United States,0,0,,,,
Naval Base Kitsap Bremerton WA,Washington,United States,47.568126,-122.646482,Bremerton,WA,Kitsap County,98312
OLF Coupeville,Washington,United States,48.1894,-122.66765,Coupeville,WA,Island County,98239
Bangor WA,Washington,United States,46.644269,-123.116525,Bunker,WA,Lewis County,98532
Marysville WA,Washington,United States,48.049576,-122.161951,Marysville,WA,Snohomish County,98270
Bayview Idaho,Idaho,United States,47.982174,-116.549408,Bayview,ID,Kootenai County,83803
CNI NAVMAG Indian Island,Washington,United States,46.21405,-119.175728,Island View,WA,Benton County,99336
NAVSTA Everett WA,Washington,United States,47.988661,-122.199795,Everett,WA,Snohomish County,98201
Jim Creek,Washington,United States,47.407324,-120.5758,,WA,,
Manchester,Washington,United States,47.53864,-122.492613,Manchester,WA,Kitsap County,98353
Sea Plane Base,Washington,United States,47.762622,-120.657315,Plain,WA,Chelan County,98826
NAVWPNSYSTRAFAC Boardman,Oregon,United States,45.83986,-119.70058,Boardman,OR,Morrow County,97818
NARL Barrow Camp Tr1,Alaska,United States,71.32436,-156.68329,Barrow,AK,North Slope Borough,99723
Fort Sheridan,Illinois,United States,42.255073,-87.818268,Fort Sheridan,IL,Lake County,60037
Naval Station Great Lakes IL,Illinois,United States,42.309272,-87.85427,Great Lakes,IL,Lake County,60088
Naval Support Activity Panama City,Florida,United States,30.159737,-85.660922,Panama City,FL,Bay County,32401
NAS Meridian MS,Mississippi,United States,32.381605,-88.663489,Meridian,MS,Lauderdale County,39301
Dixie Target Range,Texas,United States,28.88331,-97.71305,Runge,TX,Karnes County,78151
FLC Fuel Depot Heckscher,Florida,United States,0,0,,,,
NSWC Carderock Div,Tennessee,United States,0,0,,,,
Yankee Target Range,Texas,United States,28.88331,-97.71305,Runge,TX,Karnes County,78151
NAVSTA Mayport FL,Florida,United States,30.389189,-81.404408,Mayport,FL,Duval County,32227
NAS Kingsville TX,Texas,United States,27.422876,-97.84068,Kingsville,TX,Kleberg County,78363
NAS Jacksonville FL,Florida,United States,30.337538,-81.768622,Jacksonville,FL,Duval County,32099
ALF Orange,Texas,United States,30.071743,-93.864976,Orange,TX,Orange County,77630
NAVSUPPACT Midsouth Memphis TN,Tennessee,United States,35.169255,-89.990415,Memphis,TN,Shelby County,37501
Northside Mid-South,Tennessee,United States,0,0,,,,
NAS Corpus Christi TX,Texas,United States,27.674946,-97.278473,Corpus Christi,TX,Nueces County,78418
OLF Bravo,Mississippi,United States,0,0,,,,
Pentagon Building Site,Virginia,United States,0,0,,,,
Fort Lee,Virginia,United States,37.23503,-77.33279,Fort Lee,VA,Dinwiddie County,23801
Fort Myer,Virginia,United States,0,0,,,,
Letterkenny Army Depot,Pennsylvania,United States,0,0,,,,
Anniston Army Depot,Alabama,United States,33.64916,-85.879642,Anniston,AL,Calhoun County,36201
Fort Campbell TN,Tennessee,United States,0,0,,,,
Arlington National Cemetery,Virginia,United States,0,0,,,,
Pine Bluff Arsenal,Arkansas,United States,34.208962,-91.985946,Pine Bluff,AR,Jefferson County,71601
Fort Hunter Liggett,California,United States,39.873214,-123.721407,Leggett,CA,Mendocino County,95585
Pinon Canyon,Colorado,United States,38.433334,-104.607473,Pinon,CO,Pueblo County,81008
Lake Of The Ozarks Recreation,Missouri,United States,37.77032,-92.3035,Laquey,MO,Pulaski County,65534
England Authority,Louisiana,United States,0,0,,,,
Allen Stagefield AL,Alabama,United States,0,0,,,,
Brown 4b Stagefield AL,Alabama,United States,0,0,,,,
Cairns Basefield AL,Alabama,United States,0,0,,,,
Goldberg Stagefield AL,Alabama,United States,0,0,,,,
Highbluff Stagefield AL,Alabama,United States,31.156565,-85.731323,Highbluff,AL,Geneva County,36344
Hunt Stagefield AL,Alabama,United States,0,0,,,,
Louisville Stagefield AL,Alabama,United States,31.785579,-85.551104,Louisville,AL,Barbour County,36048
Runkle Stagefield AL,Alabama,United States,0,0,,,,
Shell Basefield AL,Alabama,United States,0,0,,,,
Skelly Stagefield AL,Alabama,United States,32.739632,-86.843459,,AL,,
Stinson 5AB Stagefield AL,Alabama,United States,34.785921,-87.611417,Steenson Hollow,AL,Colbert County,35661
Tac X Stagefield AL,Alabama,United States,32.739632,-86.843459,,AL,,
Toth Stagefield AL,Alabama,United States,32.739632,-86.843459,,AL,,
Grant Training Annex,Washington,United States,0,0,,,,
Fort Lesley J McNair,District of Columbia,United States,0,0,,,,
Military Ocean Tml Sunny Point,North Carolina,United States,0,0,,,,
Military Ocean Terminal Concord,California,United States,37.953672,-122.022872,Concord,CA,Contra Costa County,94518
Presidio of Monterey,California,United States,36.57485,-121.840727,Monterey,CA,Monterey County,93940
Pueblo Chemical Depot,Colorado,United States,38.293234,-104.536493,Pueblo,CO,Pueblo County,81001
Sierra Army Depot,California,United States,0,0,,,,
Kahuku Tng Area,Hawaii,United States,21.68152,-157.94072,Kahuku,HI,Honolulu County,96731
Makua Mil Reserve,Hawaii,United States,0,0,,,,
Tripler Army Medical Center,Hawaii,United States,0,0,,,,
Aliamanu Military Reservation,Hawaii,United States,19.828171,-155.49504,,HI,,
Dillingham Mil Res,Hawaii,United States,0,0,,,,
Fort De Russy,Hawaii,United States,0,0,,,,
Fort Shafter,Hawaii,United States,24.859832,-168.021815,Fort Shafter,HI,Honolulu County,96858
Helemano Military Reservation,Hawaii,United States,0,0,,,,
USA Field Station Kunia,Hawaii,United States,21.463,-158.06385,Kunia,HI,Honolulu County,96759
Waianae Kai Military Reservation,Hawaii,United States,21.437389,-158.181356,Waianae,HI,Honolulu County,96792
Kawaihae Mil Reserve,Hawaii,United States,0,0,,,,
Kilauea Mil Reserve,Hawaii,United States,0,0,,,,
Stewart Annex,New York,United States,40.724895,-73.658021,Garden City,NY,Nassau County,11530
Yuma Proving Ground,Arizona,United States,32.701461,-114.657232,Yuma,AZ,Yuma County,85364
West Point Military Reservation,New York,United States,0,0,,,,
Joliet USARC/JTA,Illinois,United States,41.509668,-88.180211,Joliet,IL,Will County,60431
W Silver Spring Complex,Wisconsin,United States,0,0,,,,
Blossom Point Research Facility,Maryland,United States,0,0,,,,
US Army Adelphi Laboratory Center,Maryland,United States,0,0,,,,
Defense Distrib Depot Susq,Pennsylvania,United States,0,0,,,,
Fort Benning AL,Alabama,United States,0,0,,,,
Camp Mackall,North Carolina,United States,0,0,,,,
Rivanna Station,Virginia,United States,37.941296,-79.276332,Raphine,VA,Rockbridge County,24472
Detroit Arsenal,Michigan,United States,42.347021,-83.060184,Detroit,MI,Wayne County,48201
Fort Detrick,Maryland,United States,0,0,,,,
Fort Detrick Forest Glen Annex,Maryland,United States,39.457054,-76.228844,Forest Greens,MD,Harford County,21001
Fort Detrick Glen Haven Annex,Maryland,United States,0,0,,,,
Devens Reserve Forces Tng Area,Massachusetts,United States,42.54364,-71.61479,Devens,MA,Worcester County,1434
Fort Greely,Alaska,United States,63.941202,-145.57398,Fort Greely,AK,Southeast Fairbanks Census Area,98733
Hawthorne Army Depot,Nevada,United States,38.52557,-118.62738,Hawthorne,NV,Mineral County,89415
Us Army Joint Sys Mfg CtrLima,Ohio,United States,40.41493,-82.711998,,OH,,
Lake City AAP,Missouri,United States,39.110283,-94.255225,Lake City,MO,Jackson County,64016
Milan AAP,Tennessee,United States,35.920312,-88.813982,Milan,TN,Gibson County,38358
Scranton AAP,Pennsylvania,United States,41.401881,-75.637626,Scranton,PA,Lackawanna County,18501
Radford AAP,Virginia,United States,37.119732,-80.556541,Radford,VA,Radford city,24141
Seward Recreation Area,Alaska,United States,60.25281,-149.402123,Seward,AK,Kenai Peninsula Borough,99664
Fort Monmouth Main Post,New Jersey,United States,40.314531,-74.041654,Fort Monmouth,NJ,Monmouth County,7703
Fort Monroe,Virginia,United States,37.018012,-76.304391,Fort Monroe,VA,Hampton city,23651
Carlisle Barracks,Pennsylvania,United States,40.20148,-77.18887,Carlisle,PA,Cumberland County,17013
US Army Garrison Selfridge,Michigan,United States,0,0,,,,
Fort Benjamin Harrison,Indiana,United States,0,0,,,,
Indiana Army Ammunition Plant,Indiana,United States,39.444565,-86.960667,Poland,IN,Clay County,47868
Jefferson Proving Ground,Indiana,United States,40.279481,-86.590003,Jefferson,IN,Clinton County,46041
Joliet AAP Elwood,Illinois,United States,41.679871,-88.05379,Romeoville,IL,Will County,60446
Destin Moreno Point,Florida,United States,30.661155,-86.594479,Destin,FL,Okaloosa County,32540
Savanna Depot Act,Illinois,United States,42.09447,-90.15679,Savanna,IL,Carroll County,61074
Badger AAP,Wisconsin,United States,0,0,,,,
Twin Cities AAP,Minnesota,United States,0,0,,,,
Longhorn AAP,Texas,United States,0,0,,,,
Lone Star AAP (BRAC 2005),Texas,United States,32.925231,-94.704906,Lone Star,TX,Morris County,75668
Rocky Mountain Arsenal,Colorado,United States,0,0,,,,
Cornhusker AAP,Nebraska,United States,0,0,,,,
Tooele Army Depot South,Utah,United States,0,0,,,,
Fort Wingate Depot Activity,New Mexico,United States,0,0,,,,
Kipapa Ammo Storage Site,Hawaii,United States,19.828171,-155.49504,,HI,,
Camp Frank D Merrill,Georgia,United States,32.269087,-81.390667,Marlow,GA,Effingham County,31312
Pupukea Paalaa Uka Mil Road,Hawaii,United States,21.664167,-158.053611,Pupukea,HI,Honolulu County,96712
Riverbank AAP,California,United States,37.729282,-120.942905,Riverbank,CA,Stanislaus County,95367
UTTR - North,Utah,United States,0,0,,,,
Hill AFB,Utah,United States,41.120219,-111.989813,Hill Afb,UT,Davis County,84056
Point Arena Air Force Station,California,United States,0,0,,,,
McClellan AFB,California,United States,38.666653,-121.389613,McClellan Afb,CA,Sacramento County,95652
Minot AFB,North Dakota,United States,48.42429,-101.319942,Minot Afb,ND,Ward County,58704
JB Andrews,Maryland,United States,38.806207,-76.875551,Andrews Air Force Base,MD,Prince George's County,20762
Ozol Defense Fuel Support Point,California,United States,40.467923,-123.168637,Peanut,CA,Trinity County,96041
Charleston AFB,South Carolina,United States,32.892396,-80.076202,Charleston Afb,SC,Charleston County,29404
Joint Base Charleston North Yard,South Carolina,United States,0,0,,,,
Charleston Defense Fuel Support Point,South Carolina,United States,0,0,,,,
Joint Base Charleston Naval Weapons Station,South Carolina,United States,32.892396,-80.076202,Charleston Afb,SC,Charleston County,29404
Joint Base Charleston Short Stay,South Carolina,United States,0,0,,,,
North Air Force Auxiliary Field,South Carolina,United States,33.61571,-81.10204,North,SC,Orangeburg County,29112
Bangor IAP,Maine,United States,44.848517,-68.850405,Bangor,ME,Penobscot County,4401
Cheyenne Regional Airport,Wyoming,United States,0,0,,,,
Savannah/Hilton Head IAP,Georgia,United States,31.288232,-85.065207,Hilton,GA,Early County,31723
Imperial Beach NOLF,California,United States,32.578991,-117.117351,Imperial Beach,CA,San Diego County,91932
Silver Strand South,California,United States,34.152783,-119.218442,Silver Strand,CA,Ventura County,93035
CNIC PMRF Barking Sands HI,Hawaii,United States,0,0,,,,
Kamokala Ridge,Hawaii,United States,0,0,,,,
Makaha Ridge,Hawaii,United States,21.469444,-158.2175,Makaha,HI,Honolulu County,96792
San Pedro Fuel Depot,California,United States,33.753088,-118.253053,San Pedro,CA,Los Angeles County,90731
Aiea,Hawaii,United States,21.39065,-157.927829,Aiea,HI,Honolulu County,96701
Ewa,Hawaii,United States,20.24232,-155.83323,Hawi,HI,Hawaii County,96719
Ford Island,Hawaii,United States,0,0,,,,
JBPHH Pearl Harbor HI,Hawaii,United States,21.349028,-157.93508,Pearl Harbor,HI,Honolulu County,96860
Honolulu,Hawaii,United States,24.859832,-168.021815,Honolulu,HI,Honolulu County,96801
CSO Barbers Point HI,Hawaii,United States,0,0,,,,
Pearl City,Hawaii,United States,21.40094,-157.96653,Pearl City,HI,Honolulu County,96782
Wahiawa,Hawaii,United States,21.5324,-158.047735,Wahiawa,HI,Honolulu County,96786
Waipahu,Hawaii,United States,21.399548,-158.015151,Waipahu,HI,Honolulu County,96797
NAS Lemoore CA,California,United States,36.268194,-119.817274,Lemoore,CA,Kings County,93245
NAF El Centro,California,United States,32.770275,-115.598602,El Centro,CA,Imperial County,92243
Holtville Carrier LS,California,United States,32.867317,-115.374769,Holtville,CA,Imperial County,92250
