Address,State,COUNTRY,Latitude,Longitude,City,State,County,Zip
Cusick Survival Training Site,Washington,United States,48.510409,-117.348383,Cusick,WA,Pend Oreille County,99119
Bellows,Hawaii,United States,0,0,,,,
Lackland Training Annex,Texas,United States,32.776671,-97.009389,Lakeland Heights,TX,Dallas County,75050
Lackland AFB,Texas,United States,32.776671,-97.009389,Lakeland Heights,TX,Dallas County,75050
Keesler AFB,Mississippi,United States,0,0,,,,
Goodfellow AFB,Texas,United States,31.43076,-100.40652,Goodfellow Afb,TX,Tom Green County,76908
Maxwell AFB,Alabama,United States,33.215157,-87.483406,Maxwell,AL,Tuscaloosa County,35404
Maxwell AFB Gunter Annex,Alabama,United States,0,0,,,,
The Barry M Goldwater Air Force Range,Arizona,United States,0,0,,,,
Gila Bend Air Force Auxiliary Field,Arizona,United States,0,0,,,,
Columbus Auxiliary Airfield,Mississippi,United States,33.393933,-88.504719,Columbus,MS,Lowndes County,39701
Luke AFB,Arizona,United States,33.54062,-112.3728,Luke Afb,AZ,Maricopa County,85309
Luke Waste Annex,Arizona,United States,0,0,,,,
Columbus AFB,Mississippi,United States,33.393933,-88.504719,Columbus,MS,Lowndes County,39701
Luke Air Force Auxiliary Field No 1,Arizona,United States,0,0,,,,
Sheppard AFB,Texas,United States,33.969524,-98.509016,Sheppard Afb,TX,Archer County,76311
Altus AFB,Oklahoma,United States,34.598197,-99.440839,Altus Afb,OK,Jackson County,73523
Vance AFB,Oklahoma,United States,34.763974,-96.871961,Vanoss,OK,Pontotoc County,74820
Kegelman Air Force Auxiliary Field,Oklahoma,United States,36.56753,-102.79353,Felt,OK,Cimarron County,73937
Eareckson AS,Alaska,United States,0,0,,,,
King Salmon Airport,Alaska,United States,58.7546,-156.50633,King Salmon,AK,Bristol Bay Borough,99613
Fort Richardson,Alaska,United States,61.259092,-149.690318,Fort Richardson,AK,Anchorage Municipality,99505
Elmendorf AFB,Alaska,United States,61.257409,-149.804165,Elmendorf Afb,AK,Anchorage Municipality,99506
Birch Lake Recreation Annex,Alaska,United States,0,0,,,,
Eielson AFB,Alaska,United States,64.663265,-147.05442,Eielson Afb,AK,Fairbanks North Star Borough,99702
Yukon Weapons Range,Alaska,United States,0,0,,,,
Luis Munoz Marin IAP,Puerto Rico,Puerto Rico,0,0,,,,
Jacksonville IAP,Florida,United States,30.337538,-81.768622,Jacksonville,FL,Duval County,32099
Tucson IAP,Arizona,United States,32.217975,-110.970869,Tucson,AZ,Pima County,85701
Montgomery Regional Airport ANGB,Alabama,United States,0,0,,,,
Jackson IAP Thompson Field,Mississippi,United States,31.331709,-90.7848,Smithdale,MS,Amite County,39664
Robins AFB,Georgia,United States,0,0,,,,
Sky Harbor IAP,Arizona,United States,0,0,,,,
McEntire Joint National Guard Base,South Carolina,United States,0,0,,,,
Channel Islands ANG Station,California,United States,40.026261,-123.490301,Island Mountain,CA,Trinity County,95440
Memphis IAP,Tennessee,United States,35.169255,-89.990415,Memphis,TN,Shelby County,37501
Charlotte/Douglas IAP,North Carolina,United States,0,0,,,,
Fort Smith Map,Arkansas,United States,35.366188,-94.416458,Fort Smith,AR,Sebastian County,72901
Will Rogers World Airport,Oklahoma,United States,0,0,,,,
McGhee Tyson Airport,Tennessee,United States,0,0,,,,
Nashville IAP,Tennessee,United States,36.165688,-86.778098,Nashville,TN,Davidson County,37201
Tulsa IAP,Oklahoma,United States,36.039147,-95.868667,Tulsa,OK,Tulsa County,74101
Fresno Yosemite International ANG,California,United States,36.8411,-119.801015,Fresno,CA,Fresno County,93650
Louisville IAP-Standiford FL Site 1,Kentucky,United States,38.188962,-85.676819,Louisville,KY,Jefferson County,40201
Yeager Airport,West Virginia,United States,0,0,,,,
Smoky Hill ANG Range,Kansas,United States,0,0,,,,
Forbes Field ANG,Kansas,United States,37.047299,-95.447475,Valeda,KS,Labette County,67337
Martin State Airport,Maryland,United States,0,0,,,,
Atlantic City IAP,New Jersey,United States,39.356661,-74.44167,Atlantic City,NJ,Atlantic County,8401
Reno Tahoe IAP,Nevada,United States,39.525749,-119.813051,Reno,NV,Washoe County,89501
New Castle Airport,Delaware,United States,39.592895,-75.651466,New Castle,DE,New Castle County,19720
Rosecrans MAP (139AG),Missouri,United States,0,0,,,,
Rickenbacker,Ohio,United States,0,0,,,,
Springfield Beckley,Ohio,United States,39.927059,-83.813228,Springfield,OH,Clark County,45501
Pittsburgh IAP (ANG),Pennsylvania,United States,40.47441,-79.950968,Pittsburgh,PA,Allegheny County,15201
Salt Lake City IAP,Utah,United States,40.756095,-111.900719,Salt Lake City,UT,Salt Lake County,84101
Site 1 Cantonement Area,Ohio,United States,0,0,,,,
Francis S Gabreski Airport,New York,United States,0,0,,,,
Stewart IAP,New York,United States,40.719269,-73.688464,Stewart Manor,NY,Nassau County,11530
Quonset State Airport,Rhode Island,United States,0,0,,,,
Otis ANG Base,Massachusetts,United States,42.213156,-73.090434,Otis,MA,Berkshire County,1253
Bradley IAP,Connecticut,United States,0,0,,,,
W K Kellogg,Michigan,United States,0,0,,,,
Sioux Gateway Airport (ANG),Iowa,United States,0,0,,,,
Selfridge ANGB,Michigan,United States,0,0,,,,
Pease ANGB,New Hampshire,United States,0,0,,,,
Hancock Field,New York,United States,42.398503,-73.626548,Valatie,NY,Columbia County,12184
Truax ANGB,Wisconsin,United States,44.630907,-89.709392,,WI,,
Boise Air Terminal,Idaho,United States,43.603768,-116.272921,Boise,ID,Ada County,83701
Joe Foss Field,South Dakota,United States,45.84774,-103.362052,Vessey,SD,Harding County,57755
Volk ANGB,Wisconsin,United States,44.630907,-89.709392,,WI,,
Minn-St Paul,Minnesota,United States,44.951483,-93.090649,Saint Paul,MN,Ramsey County,55101
Alpena County Regional Airport,Michigan,United States,0,0,,,,
Portland IAP ANG,Oregon,United States,45.507856,-122.690794,Portland,OR,Multnomah County,97201
Hector IAP,North Dakota,United States,0,0,,,,
Great Falls IAP,Montana,United States,47.511219,-111.2755,Great Falls,MT,Cascade County,59401
EWVRA Shepherd Field,West Virginia,United States,0,0,,,,
Hulman Fld,Indiana,United States,38.157551,-87.090278,Heilman,IN,Warrick County,47523
General Wayne A Downing Peoria IAP,Illinois,United States,40.693137,-89.589847,Peoria,IL,Peoria County,61601
Des Moines IAP,Iowa,United States,41.672687,-93.572173,Des Moines,IA,Polk County,50301
Toledo/Exp Airport,Ohio,United States,0,0,,,,
Duluth IAP,Minnesota,United States,47.005566,-92.001934,Duluth,MN,St. Louis County,55801
MacDill AFB,Florida,United States,0,0,,,,
Ellington Field,Texas,United States,36.433821,-100.139117,Follett,TX,Lipscomb County,79034
Gulfport-Biloxi Regional Airport (ANG),Mississippi,United States,0,0,,,,
Birmingham Airport,Alabama,United States,33.456412,-86.801904,Birmingham,AL,Jefferson County,35201
McConnell AFB,Kansas,United States,37.692236,-97.337545,McConnell Afb,KS,Sedgwick County,67221
NGA Arnold Site,Missouri,United States,38.43283,-90.37762,Arnold,MO,Jefferson County,63010
Scott AFB,Illinois,United States,0,0,,,,
St Louis Air Force Station,Missouri,United States,0,0,,,,
Capital Airport,Illinois,United States,0,0,,,,
Dix,New Jersey,United States,0,0,,,,
McGuire,New Jersey,United States,0,0,,,,
Lakehurst,New Jersey,United States,40.01456,-74.31126,Lakehurst,NJ,Ocean County,8733
Lincoln Map,Nebraska,United States,40.865142,-96.823133,Lincoln,NE,Lancaster County,68501
Barnes Map (ANG),Massachusetts,United States,0,0,,,,
Gen Mitchell IAP,Wisconsin,United States,0,0,,,,
Burlington IAP,Vermont,United States,44.476622,-73.209998,Burlington,VT,Chittenden County,5401
Kelly Field Annex,Texas,United States,33.362612,-96.618879,Kelly,TX,Collin County,75003
Kelly AFB,Texas,United States,33.362612,-96.618879,Kelly,TX,Collin County,75003
JBSA Sam Houston,Texas,United States,29.813142,-95.309789,Houston,TX,Harris County,77001
Medical Center Annex,Texas,United States,31.780781,-94.235334,Center,TX,Shelby County,75935
Randolph AFB,Texas,United States,33.484594,-96.254127,Randolph,TX,Fannin County,75475
Seguin Auxiliary Field,Texas,United States,36.433821,-100.139117,Follett,TX,Lipscomb County,79034
Camp Bullis Training Annex,Texas,United States,32.44264,-96.229977,Kemp,TX,Kaufman County,75143
Canyon Lake Recreation Annex,Texas,United States,29.87622,-98.26167,Canyon Lake,TX,Comal County,78133
Fort George G Meade,Maryland,United States,39.114553,-76.765249,Fort George G Meade,MD,Anne Arundel County,20755
Fort Leavenworth,Kansas,United States,39.346798,-94.931329,Fort Leavenworth,KS,Leavenworth County,66027
Fort Riley,Kansas,United States,39.113738,-96.837821,Fort Riley,KS,Geary County,66442
Wheeler Army Airfield,Hawaii,United States,21.475456,-158.03516,Wheeler Army Airfield,HI,Honolulu County,96854
Fort Campbell KY,Kentucky,United States,36.657253,-87.458858,Fort Campbell,KY,Christian County,42223
Fort Wainwright,Alaska,United States,64.832821,-147.64418,Fort Wainwright,AK,Fairbanks North Star Borough,99703
Parks Reserve Forces Tng Area,California,United States,0,0,,,,
Fort Polk,Louisiana,United States,31.56668,-92.396314,Pollock,LA,Grant Parish,71467
Fort Knox,Kentucky,United States,37.899466,-85.952833,Fort Knox,KY,Hardin County,40121
Blue Grass Army Depot,Kentucky,United States,0,0,,,,
Fort Belvoir,Virginia,United States,38.714562,-77.167886,Fort Belvoir,VA,Fairfax County,22060
Schenectady ANG MAP,New York,United States,42.833261,-74.058015,Schenectady,NY,Schenectady County,12301
Fort Gordon,Georgia,United States,32.881267,-83.302945,Gordon,GA,Wilkinson County,31031
Target B-19,Nevada,United States,39.331093,-116.615147,,NV,,
Fort Sill,Oklahoma,United States,34.663978,-98.437482,Fort Sill,OK,Comanche County,73503
Redstone Arsenal,Alabama,United States,34.683875,-86.647643,Redstone Arsenal,AL,Madison County,35809
Fort Jackson,South Carolina,United States,33.32542,-81.78789,Jackson,SC,Aiken County,29831
Watervliet Arsenal,New York,United States,0,0,,,,
Def Gen Supply Center,Virginia,United States,0,0,,,,
Fort Benning GA,Georgia,United States,32.392337,-84.931457,Fort Benning,GA,Muscogee County,31905
Naval Air Station Patuxent River,Maryland,United States,38.285279,-76.415708,Patuxent River,MD,St. Mary's County,20670
Fort Hood,Texas,United States,31.134891,-97.775614,Fort Hood,TX,Bell County,76544
Fort Carson,Colorado,United States,38.737494,-104.788862,Fort Carson,CO,El Paso County,80913
Fort McCoy,Wisconsin,United States,0,0,,,,
Fort Drum,New York,United States,44.032457,-75.754468,Fort Drum,NY,Jefferson County,13602
Hunter Army Airfield,Georgia,United States,0,0,,,,
Fort Huachuca,Arizona,United States,31.559131,-110.318682,Fort Huachuca,AZ,Cochise County,85613
Fort Rucker AL,Alabama,United States,31.327347,-85.737811,Fort Rucker,AL,Dale County,36362
Fort A P Hill,Virginia,United States,37.134946,-77.736402,Ford,VA,Dinwiddie County,23850
Fort Stewart,Georgia,United States,31.870154,-81.631076,Fort Stewart,GA,Liberty County,31314
Aberdeen Proving Ground,Maryland,United States,39.477062,-76.120824,Aberdeen Proving Ground,MD,Harford County,21005
Dugway Proving Ground,Utah,United States,40.270806,-112.689833,Dugway,UT,Tooele County,84022
Fort Buchanan,Puerto Rico,Puerto Rico,0,0,,,,
Schofield Barracks Military Reservation,Hawaii,United States,21.48676,-158.051525,Schofield Barracks,HI,Honolulu County,96857
Tobyhanna Army Depot,Pennsylvania,United States,41.17703,-75.41796,Tobyhanna,PA,Monroe County,18466
Beale AFB,California,United States,39.111453,-121.360957,Beale Afb,CA,Yuba County,95903
Eglin AFB (Eglin Main and Reservation),Florida,United States,30.45907,-86.55026,Eglin Afb,FL,Okaloosa County,32542
NTC and Fort Irwin,California,United States,35.262453,-116.696561,Fort Irwin,CA,San Bernardino County,92310
Fort Hamilton,New York,United States,40.618715,-74.033196,Fort Hamilton,NY,Kings County,11209
White Sands Missile Range NM,New Mexico,United States,32.383871,-106.493675,White Sands Missile Range,NM,Doña Ana County,88002
Holston AAP,Tennessee,United States,36.579272,-82.193744,Holston Hills,TN,Sullivan County,37620
Iowa AAP,Iowa,United States,0,0,,,,
Yakima Training Center,Washington,United States,46.722625,-120.406039,Yakima,WA,Yakima County,98901
Red River Army Depot,Texas,United States,0,0,,,,
Grand Prairie Reserve Complex,Texas,United States,32.776671,-97.009389,Grand Prairie,TX,Dallas County,75050
Fort Bragg,North Carolina,United States,35.140193,-78.987942,Fort Bragg,NC,Cumberland County,28307
Defense Supply Center Columbus,Ohio,United States,40.100924,-83.013402,Columbus,OH,Franklin County,43085
Fort Lewis,Washington,United States,0,0,,,,
Fort Leonard Wood,Missouri,United States,37.767687,-92.111975,Fort Leonard Wood,MO,Pulaski County,65473
McAlester AAP,Oklahoma,United States,34.985768,-95.790791,McAlester,OK,Pittsburg County,74501
Barrigada,Guam,Guam,13.444257,144.786297,Barrigada,GU,Guam,96913
Picatinny Arsenal,New Jersey,United States,40.867331,-74.578269,Picatinny Arsenal,NJ,Morris County,7806
Fort Bliss,Texas,United States,31.810651,-106.404743,Fort Bliss,TX,El Paso County,79906
Green River Test Complex UT,Utah,United States,39.020075,-110.213864,Green River,UT,Emery County,84525
NG Atlanta - Confederate Ave,Georgia,United States,33.844371,-84.47405,Atlanta,GA,Fulton County,30301
