Base,City,State,County,Country,Branch,Operational,Lat,Long,Major Command,FIPS
Camp Bullis Training Annex,Kemp,TX,Kaufman,United States,Air Force,Active,32.44264,-96.229977,NA,48257
Dover Air Force Base,Dover,DE,Kent,United States,Air Force,Active,39.126325,-75.491486,AMC,10001
Dryside,California City,CA,Kern,United States,Navy,Active,35.187133,-117.885359,NA,6029
Naval Air Station Lemoore CA,Lemoore,CA,Kings,United States,Navy,Active,36.268194,-119.817274,NA,6031
Fort Hamilton,Fort Hamilton,NY,Kings,United States,Army,Active,40.618715,-74.033196,NA,6031
Laughlin Air Force Base,Del Rio,TX,Kinney,United States,Air Force,Active,29.35944444,-100.7780556,AETC,48271
Manchester,Manchester,WA,Kitsap,United States,Navy,Active,47.53864,-122.492613,NA,53035
Keyport NUWC,Keyport,WA,Kitsap,United States,Navy,Active,47.698025,-122.625529,NA,53035
Naval Base Kitsap Bremerton WA,Bremerton,WA,Kitsap,United States,Navy,Active,47.569525,-122.646451,NA,53035
NG Bremerton,Bremerton,WA,Kitsap,United States,Army,Guard,47.606478,-122.634712,NA,53035
Klamath Falls Airport,"Klamath Falls, Oregon",OR,Klamath,United States,Air Force,NA,42.15611111,-121.7330556,ANG,41035
Naval Air Station Kingsville TX,Kingsville,TX,Kleberg,United States,Navy,Active,27.422876,-97.84068,NA,48273
NG Lincoln AASF/Readiness Center,Center,NE,Knox,United States,Army,Guard,42.597304,-97.866951,NA,18083
Scranton AAP,Scranton,PA,Lackawanna,United States,Army,Active,41.4118,-75.679932,NA,42069
Naval Station Great Lakes IL,Great Lakes,IL,Lake,United States,Navy,Active,42.309272,-87.85427,NA,30047
Fort Sheridan,Fort Sheridan,IL,Lake,United States,Navy,Active,42.255073,-87.818268,NA,30047
NG Camp Maxey,Maxey,TX,Lamar,United States,Army,Guard,33.703436,-95.751353,NA,1075
NG TS Camp Johnson,Johnson,VT,Lamoille,United States,Army,Guard,44.642603,-72.735911,NA,50015
Lincoln Airport,Lincoln,NE,Lancaster,United States,Air Force,Guard,40.85111111,-96.75916667,ANG,51103
Moody Air Force Base,Valdosta,GA,Lanier,United States,Air Force,Active,30.96777778,-83.19277778,ACC,13173
Cheyenne Regional Airport,Cheyenne,WY,Laramie,United States,Air Force,Guard,41.16138889,-104.8194444,ANG,56021
FE Warren Air Force Base,Cheyenne,WY,Laramie,United States,Air Force,Active,41.13305556,-104.8669444,AFGSC,56021
Meridian Regional Airport,Meridian,MS,Lauderdale,United States,Air Force,NA,32.3325,-88.75194444,ANG,47097
Naval Air Station Meridian MS,Meridian,MS,Lauderdale,United States,Navy,Active,32.381605,-88.663489,NA,47097
Fort Leavenworth,Fort Leavenworth,KS,Leavenworth,United States,Army,Active,39.346798,-94.931329,NA,20103
NG Fort Indiantown Gap,Fort Indiantown Gap,PA,Lebanon,United States,Army,Guard,40.362359,-76.569599,NA,42075
OLF Bronson,Bronson,FL,Levy,United States,Navy,Active,29.44774,-82.64233,NA,12075
Bangor WA,Bunker,WA,Lewis,United States,Navy,Active,46.644269,-123.116525,NA,16061
NG Helena Aviation RC- AASF- C12,Helena,MT,Lewis and Clark,United States,Army,Guard,46.527398,-112.21037,NA,30049
Fort Stewart,Fort Stewart,GA,Liberty,United States,Army,Active,31.870154,-81.631076,NA,30051
Ellington Field,Follett,TX,Lipscomb,United States,Air Force,Guard,36.433821,-100.139117,NA,48295
Seguin Auxiliary Field,Follett,TX,Lipscomb,United States,Air Force,Active,36.433821,-100.139117,NA,48295
NG Springfield (TS Cp Lincoln),Lincoln,IL,Logan,United States,Army,Guard,40.162779,-89.398361,NA,21141
Norwalk Fuel Complex,Norwalk,CA,Los Angeles,United States,Navy,Active,33.904087,-118.073183,NA,6037
Site 3 NS Long Beach,Long Beach,CA,Los Angeles,United States,Navy,Active,33.804309,-118.200957,NA,6037
Norwalk 2,Norwalk,CA,Los Angeles,United States,Air Force,Reserve,33.904087,-118.073183,NA,6037
Air Force Plant 42,Palmdale,CA,Los Angeles,United States,Air Force,Active,37.289085,-120.317156,AFMC,6037
Long Beach Fuel Complex,Long Beach,CA,Los Angeles,United States,Navy,Active,33.810783,-118.18955,NA,6037
San Pedro Fuel Depot,San Pedro,CA,Los Angeles,United States,Navy,Active,33.753088,-118.253053,NA,6037
Edwards Air Force Base,Edwards,CA,Los Angeles,United States,Air Force,Active,35.005099,-117.809769,AFMC,6037
CSO NSY Long Beach Ca,Long Beach,CA,Los Angeles,United States,Navy,Active,33.804309,-118.200957,NA,6037
Los Angeles Space Force Base,El Segundo,CA,Los Angeles,United States,Air Force,Active,33.91888889,-118.3805556,USSF,6037
Columbus Auxiliary Airfield,Columbus,MS,Lowndes,United States,Air Force,Active,33.63194,-88.458269,NA,1085
Columbus Air Force Base,Columbus,MS,Lowndes,United States,Air Force,Active,33.63194,-88.458269,AETC,1085
Selfridge Air National Guard Base,Mount Clemens,MI,Macomb,United States,Air Force,Guard,42.60833333,-82.83555556,ANG,26099
NG Oglethorpe Armory,Oglethorpe,GA,Macon,United States,Army,Guard,32.327479,-84.101472,NA,1087
NG Macon TS,Macon,MO,Macon,United States,Army,Guard,39.773979,-92.451742,NA,1087
NG Jackson Airport Armory,Jackson,TN,Madison,United States,Army,Guard,35.570424,-88.862742,NA,29123
NG MTA Ft Wm Henry Harrison,Harrison,MT,Madison,United States,Army,Guard,45.70355,-111.78548,NA,29123
Redstone Arsenal,Redstone Arsenal,AL,Madison,United States,Army,Active,34.683875,-86.647643,NA,29123
NG Buckeye TS,Buckeye,AZ,Maricopa,United States,Army,Guard,33.37032,-112.58378,NA,4013
Goldwater Air National Guard Base,"Phoenix, Arizona",AZ,Maricopa,United States,Air Force,NA,33.42666667,-112.0119444,ANG,4013
Luke Air Force Base,Glendale,AZ,Maricopa,United States,Air Force,Active,33.535,-112.3830556,AETC,4013
NG Indianapolis 38 ID,Indianapolis,IN,Marion,United States,Army,Guard,39.775092,-86.13216,NA,41047
NG McNary Field Salem AASF,Salem,OR,Marion,United States,Army,Guard,44.94878,-123.003655,NA,41047
Bridgeport,Mariposa,CA,Mariposa,United States,Marine Corps,Active,37.437457,-119.999035,NA,6043
Naval Support Activity Crane,Crane,IN,Martin,United States,Navy,Active,38.894879,-86.900174,NA,21159
NG MTA Clarks Hill Reservation,Clarks Hill,SC,McCormick,United States,Army,Guard,33.623057,-82.132655,NA,45065
Ellsworth Air Force Base Site 2,Ellsworth Air Force Base,SD,Meade,United States,Air Force,Active,44.15098,-103.09488,NA,46093
Charlotte Douglas International Airport,Charlotte,NC,Mecklenburg,United States,Air Force,Guard,35.21611111,-80.93194444,ANG,51117
Fort Hunter Liggett,Leggett,CA,Mendocino,United States,Army,Reserve,39.873214,-123.721407,NA,6045
NG Lawrenceville,Lawrenceville,NJ,Mercer,United States,Army,Guard,40.29733,-74.729605,NA,54055
NG Frankfort Boone NG Center,Center,KY,Metcalfe,United States,Army,Guard,37.11767,-85.703791,NA,21169
Grissom Air Reserve Base,Grissom Arb,IN,Miami,United States,Air Force,Reserve,40.780955,-86.016441,NA,18103
Grissom Joint Air Reserve Base,"Kokomo, Indiana",IN,Miami,United States,Air Force,NA,40.64805556,-86.15222222,AFRC,18103
Homestead Air Reserve Base,Homestead,FL,Miami-Dade,United States,Air Force,Reserve,25.48833333,-80.38361111,AFRC,12086
Luis Munoz Marin International Airport,"San Juan, Puerto Rico",PR,Miami-Dade,Puerto Rico,Air Force,Guard,18.43944444,-66.00194444,ANG,12086
NWIRP Bedford MA,Bedford,MA,Middlesex,United States,Navy,Active,42.49065,-71.27617,NA,25017
Hanscom Air Force Base,Lincoln,MA,Middlesex,United States,Air Force,Active,42.47,-71.28916667,AFMC,25017
NG Ayer,Ayer,MA,Middlesex,United States,Army,Guard,42.566573,-71.575135,NA,25017
US Army Soldier Systems Center Natick,Natick,MA,Middlesex,United States,Army,Active,42.28343,-71.3495,NA,25017
Hawthorne Army Depot,Hawthorne,NV,Mineral,United States,Army,Active,38.52557,-118.62738,NA,54057
Sioux Falls Regional Airport,"Sioux Falls, South Dakota",SD,Minnehaha,United States,Air Force,NA,43.58194444,-96.74194444,ANG,46099
Fort Monmouth Main Post,Fort Monmouth,NJ,Monmouth,United States,Army,Active,40.314531,-74.041654,NA,34025
NG Sea Girt NJ NGTC,Sea Girt,NJ,Monmouth,United States,Army,Guard,40.13206,-74.03458,NA,34025
NG Camp Williams Tomah MTA,Tomah,WI,Monroe,United States,Army,Guard,43.983826,-90.473336,NA,12087
Naval Air Station Key West FL,Key West,FL,Monroe,United States,Navy,Active,24.557053,-81.780989,NA,12087
Tobyhanna Army Depot,Tobyhanna,PA,Monroe,United States,Army,Active,41.185358,-75.427947,NA,12087
NG Camp Bowie (State),Bowie,TX,Montague,United States,Army,Guard,33.530011,-97.856849,NA,48337
NG Camp Bowie - Musgrave (Fed),Bowie,TX,Montague,United States,Army,Guard,33.530011,-97.856849,NA,48337
Presidio of Monterey,Monterey,CA,Monterey,United States,Army,Active,36.57485,-121.840727,NA,6053
Choc Mt Air Gnry Rng,Monterey,CA,Monterey,United States,Marine Corps,Active,36.57485,-121.840727,NA,6053
NAVSUPPACT Monterey CA,Monterey,CA,Monterey,United States,Navy,Active,36.57485,-121.840727,NA,6053
Dare County Range,Troy,NC,Montgomery,United States,Air Force,Active,35.393595,-79.907346,NA,20125
Dannelly Field,"Montgomery, Alabama",AL,Montgomery,United States,Air Force,NA,32.30444444,-86.40027778,ANG,20125
Abston Air National Guard Station,Montgomery,AL,Montgomery,United States,Air Force,Guard,32.35611111,-86.34666667,ANG,20125
NG Collegeville FMS 4,Collegeville,PA,Montgomery,United States,Army,Guard,40.18566,-75.45157,NA,20125
NG RW Shepherd Hope Hull,Hope Hull,AL,Montgomery,United States,Army,Guard,32.206441,-86.380464,NA,20125
NAVSUPPACT Bethesda MD,Bethesda,MD,Montgomery,United States,Navy,Active,39.143979,-77.207617,NA,20125
Naval Air Station JRB Willow Grove,Willow Grove,PA,Montgomery,United States,Navy,Active,40.157452,-75.124753,NA,20125
Lafayette Rvr Complex,Elliston,VA,Montgomery,United States,Navy,Active,37.235923,-80.212038,NA,20125
Maxwell Air Force Base Gunter Annex,Montgomery,AL,Montgomery,United States,Air Force,Active,32.37916667,-86.3625,AETC,20125
Maxwell Air Force Base,Montgomery,AL,Montgomery,United States,Air Force,Active,32.37916667,-86.3625,AETC,20125
NG McConnelsville Training Site,Mc Connelsville,OH,Morgan,United States,Army,Guard,39.737292,-81.915415,NA,13211
Picatinny Arsenal,Picatinny Arsenal,NJ,Morris,United States,Army,Active,40.867331,-74.578269,NA,48343
NAVWPNSYSTRAFAC Boardman,Boardman,OR,Morrow,United States,Navy,Active,45.83986,-119.70058,NA,39117
Portland International Airport ANG,Portland,OR,Multnomah,United States,Air Force,Guard,45.507856,-122.690794,NA,41051
Fort Benning GA,Fort Benning,GA,Muscogee,United States,Army,Active,32.392337,-84.931457,NA,13215
NG Muskogee AFRC,Muskogee,OK,Muskogee,United States,Army,Guard,35.70582,-95.50025,NA,40101
NG Camp Swift,Swift,TX,Nacogdoches,United States,Army,Guard,31.62018,-94.483262,NA,48347
Stewart Annex,Garden City,NY,Nassau,United States,Army,Active,40.724595,-73.658024,NA,36059
Jacksonville International Airport,Jacksonville,FL,Nassau,United States,Air Force,Guard,30.49416667,-81.68777778,ANG,36059
New Castle Airport,"New Castle, Delaware",DE,New Castle,United States,Air Force,Guard,39.68527778,-75.59916667,ANG,10003
NG MTA Camp Crowder Neosho,Neosho,MO,Newton,United States,Army,Guard,36.904539,-94.372328,NA,5101
Niagara Falls International Airport,"Niagara Falls, New York",NY,Niagara,United States,Air Force,NA,43.11333333,-78.9475,AFRC,36063
Niagara Falls,Niagara Falls,NY,Niagara,United States,Air Force,Reserve,43.093362,-79.009784,NA,36063
CSO Naval Air Station South Weymouth,Weymouth,MA,Norfolk,United States,Navy,Active,42.20794,-70.95514,NA,25021
Naval Air Station Corpus Christi TX,Corpus Christi,TX,Nueces,United States,Navy,Active,27.674946,-97.278473,NA,48355
Tonopah Test Range Airport,Tonopah,NV,Nye,United States,Air Force,NA,37.79472222,-116.7786111,ACC,32023
Lakehurst,Lakehurst,NJ,Ocean,United States,Air Force,Active,40.010938,-74.303205,NA,34029
Duke Field,"Crestview, Florida",FL,Okaloosa,United States,Air Force,NA,30.65027778,-86.52277778,AFRC,12091
Destin Moreno Point,Destin,FL,Okaloosa,United States,Army,Active,30.661155,-86.594479,NA,12091
Hurlburt Field,Mary Esther,FL,Okaloosa,United States,Air Force,Active,30.42777778,-86.68944444,AFSOC,12091
Eglin Air Force Base,Valparaiso,FL,Okaloosa,United States,Air Force,Active,30.48333333,-86.53333333,AFMC,12091
Kadena Air Force Base,Okinawa,Okinawa,Okinawa,Japan,Air Force,Active,26.3557,127.7679,PACAF,359
Will Rogers World Airport Moved to Tinker AFB in 2007[163],Oklahoma City,OK,Oklahoma,United States,Air Force,Guard,35.39305556,-97.60083333,ANG,40109
Tinker Air Force Base,Oklahoma City,OK,Oklahoma,United States,Air Force,Active,35.41472222,-97.38666667,AFMC,40109
NG Oklahoma Military Department,Oklahoma City,OK,Oklahoma,United States,Army,Guard,35.491608,-97.562817,NA,40109
NG Rochester NGA and OMS 2,Rochester,MN,Olmsted,United States,Army,Guard,44.075285,-92.516916,NA,27109
Griffiss International Airport,"Rome, New York",NY,Oneida,United States,Air Force,NA,43.23055556,-75.40944444,ANG,55085
Rome Laboratory,Rome,NY,Oneida,United States,Air Force,Active,43.2229,-75.4085,AFMC,55085
Syracuse MCRC,Syracuse,NY,Onondaga,United States,Marine Corps,Reserve,43.047934,-76.17792,NA,36067
Syracuse Hancock International Airport,"Syracuse, New York",NY,Onondaga,United States,Air Force,NA,43.11138889,-76.12361111,ANG,36067
March Joint Air Reserve Base,Riverside,CA,Orange,United States,Air Force,Reserve,33.88055556,-117.2594444,AFRC,48361
ALF Orange,Orange,TX,Orange,United States,Navy,Active,30.071743,-93.864976,NA,48361
Naval Support Activity Orlando,Orlando,FL,Orange,United States,Navy,Active,28.545179,-81.373291,NA,48361
Stewart International Airport,Newburgh,NY,Orange,United States,Air Force,Guard,41.50416667,-74.10472222,ANG,48361
NG TS AFRC Los Alamitos,Los Alamitos,CA,Orange,United States,Army,Guard,33.795012,-118.062692,NA,48361
San Clemente IS NALF,Irvine,CA,Orange,United States,Navy,Active,33.729641,-117.772954,NA,48361
NAVWPNSTA Seal Beach,Seal Beach,CA,Orange,United States,Navy,Active,33.74141,-118.10479,NA,48361
North Air Force Auxiliary Field,North,SC,Orangeburg,United States,Air Force,Active,33.61571,-81.10204,NA,45075
Naval Air Station Joint Reserve Base New Orleans,"Belle Chasse, Louisiana",LA,Orleans,United States,Air Force,NA,29.82527778,-90.035,ANG,50019
Bonito Lake System Annex,Bent,NM,Otero,United States,Air Force,Active,33.1587,-105.85693,NA,8089
Holloman Air Force Base,Alamogordo,NM,Otero,United States,Air Force,Active,32.8525,-106.1063889,ACC,8089
Cavalier Air Force Station,Mountain,ND,Pembina,United States,Air Force,Active,48.79388,-97.62231,USSF,38067
Cusick Survival Training Site,Cusick,WA,Pend Oreille,United States,Air Force,Active,48.510409,-117.348383,NA,53051
Ellsworth Air Force Base,Box Elder,SD,Pennington,United States,Air Force,Active,44.145,-103.1036111,AFGSC,46103
NG West Camp,Wasta,SD,Pennington,United States,Army,Guard,44.0686,-102.44572,NA,46103
Bangor International Airport,Bangor,ME,Penobscot,United States,Air Force,Guard,44.848256,-68.835091,ANG,23019
NG Bangor Training Site,Bangor,ME,Penobscot,United States,Army,Guard,44.848517,-68.850405,NA,23019
General Wayne A Downing Peoria International Airport,Peoria,IL,Peoria,United States,Air Force,Guard,40.693137,-89.589847,ANG,17143
Det Philadelphia PA,Philadelphia,PA,Philadelphia,United States,Navy,Active,40.001811,-75.11787,NA,42101
NG Camp Murray,Camp Murray,WA,Pierce,United States,Army,Guard,47.11678,-122.56866,NA,55093
Joint Base Lewis-McChord,Tacoma,WA,Pierce,United States,Air Force,Active,47.1475,-122.4794444,AMC,55093
NG Silver Bell Army Heliport,Silver Bell,AZ,Pima,United States,Army,Guard,32.383404,-111.500669,NA,4019
Tucson International Airport,Tucson,AZ,Pima,United States,Air Force,Guard,32.11527778,-110.9305556,ANG,4019
NG Picacho Aviation TS,Picacho,AZ,Pinal,United States,Army,Guard,32.689594,-111.531036,NA,4021
NG Florence Military Reservation,Florence,AZ,Pinal,United States,Army,Guard,32.982354,-111.424943,NA,4021
McAlester AAP,McAlester,OK,Pittsburg,United States,Army,Active,34.904585,-95.697624,NA,40121
Cheatham Annex,Chatham,VA,Pittsylvania,United States,Navy,Active,36.830785,-79.412735,NA,51143
NG MTCH Camp Guernsey,Guernsey,WY,Platte,United States,Army,Guard,42.256819,-104.786912,NA,56031
NG Camp Dodge Johnston TS,Johnston,IA,Polk,United States,Army,Guard,41.714435,-93.732559,NA,5113
Des Moines International Airport,Des Moines,IA,Polk,United States,Air Force,Guard,41.596212,-93.591022,ANG,5113
NG CTC Camp Dawson-Kingwood,Kingwood,WV,Preston,United States,Army,Guard,39.471673,-79.67596,NA,54077
Joint Base Andrews-Naval Air Facility Washington,Camp Springs,MD,Prince George's,United States,Air Force,Active,38.81083333,-76.86694444,AFDW,24033
NMIC Suitland,Suitland,MD,Prince George's,United States,Navy,Active,38.834912,-76.912745,NA,24033
MCB Quantico,Quantico,VA,Prince William,United States,Marine Corps,Active,38.52602,-77.322803,NA,51153
Pueblo Chemical Depot,Pueblo,CO,Pueblo,United States,Army,Active,38.293234,-104.536493,NA,8101
Pinon Canyon,Pinon,CO,Pueblo,United States,Army,Active,38.433334,-104.607473,NA,8101
Lake Of The Ozarks Recreation,Laquey,MO,Pulaski,United States,Army,Active,37.77032,-92.3035,NA,51155
Fort Leonard Wood,Fort Leonard Wood,MO,Pulaski,United States,Army,Active,37.767687,-92.111975,NA,51155
Little Rock Air Force Base,Little Rock,AR,Pulaski,United States,Air Force,Active,34.91694444,-92.14638889,AMC,51155
Minneapolis-Saint Paul International Airport,"Minneapolis – Saint Paul, Minnesota",MN,Ramsey,United States,Air Force,Reserve,44.88166667,-93.23361111,AFRC,27123
NG Sparta Armory,Sparta,IL,Randolph,United States,Army,Guard,38.108083,-89.726486,NA,54083
NG Elkins AFRC,Elkins,WV,Randolph,United States,Army,Guard,38.92594,-79.84673,NA,54083
NG TS Clark Natl Forest Wapp,Clark,MO,Randolph,United States,Army,Guard,39.295025,-92.374105,NA,54083
Jackson-Evers International Airport,Jackson,MS,Rankin,United States,Air Force,NA,32.31111111,-90.07583333,ANG,28121
NG Camp Mabry,Mabry,TX,Red River,United States,Army,Guard,33.613442,-95.118279,NA,48387
Spangdahlem Air Force base,Germany,Rhineland-Palatinate,Rhineland-Palatinate,Germany,Air Force,Active,49.9857,6.6843,USAFE,236
Ramstein Air Force Base,Rhineland-Palatinate,Rhineland-Palatinate,Rhineland-Palatinate,Germany,Air Force,Active,49.4397,7.5971,USAFE,236
Mansfield Lahm Regional Airport,Mansfield,OH,Richland,United States,Air Force,NA,40.81361111,-82.51666667,ANG,22083
McEntire Joint National Guard Base,Eastover,SC,Richland,United States,Air Force,Guard,33.92083333,-80.80111111,ANG,22083
MCB Camp Lejeune (East Site),East Side Park,NC,Richmond,United States,Marine Corps,Active,34.95682,-79.750056,NA,51159
Norco,Norco,CA,Riverside,United States,Navy,Active,33.936248,-117.570053,NA,6065
Navy Annex,Nuevo,CA,Riverside,United States,Navy,Active,33.801279,-117.139061,NA,6065
Camp Morena,Moreno,CA,Riverside,United States,Navy,Active,33.917517,-117.157813,NA,6065
NG Arden Hills Army Training Site,Hills,MN,Rock,United States,Army,Guard,43.525185,-96.358365,NA,55105
Rock Island Arsenal,Rock Island Arsenal,IL,Rock Island,United States,Army,Active,41.517253,-90.539929,NA,17161
Rivanna Station,Raphine,VA,Rockbridge,United States,Army,Active,37.941296,-79.276332,NA,51163
Pease Air National Guard Base,"Portsmouth, New Hampshire",NH,Rockingham,United States,Air Force,Guard,43.07805556,-70.82333333,ANG,37157
NG VTS Smyrna,Smyrna,TN,Rutherford,United States,Army,Guard,35.959541,-86.53159,NA,37161
McClellan Air Force Base,McClellan Air Force Base,CA,Sacramento,United States,Air Force,Active,38.663017,-121.383935,NA,6067
North Highlands Air National Guard Station,"Sacramento, California",CA,Sacramento,United States,Air Force,NA,38.64,-121.4025,ANG,6067
NAWS China Lake,Locke,CA,Sacramento,United States,Navy,Active,38.25047,-121.509397,NA,6067
NAVPMOSSP Magna Utah,Magna,UT,Salt Lake,United States,Navy,Active,40.699401,-112.088875,NA,49035
Salt Lake City International Airport,Salt Lake City,UT,Salt Lake,United States,Air Force,Guard,40.78833333,-111.9777778,ANG,49035
Yermo Area,Yermo,CA,San Bernardino,United States,Marine Corps,Active,34.901697,-116.844762,NA,6071
MCLB Barstow,Barstow,CA,San Bernardino,United States,Marine Corps,Active,34.980295,-116.964449,NA,6071
Los Angeles Space Force Annex No4,Sugarloaf,CA,San Bernardino,United States,Air Force,Active,34.241389,-116.832701,USSF,6071
NTC and Fort Irwin,Fort Irwin,CA,San Bernardino,United States,Army,Active,35.262453,-116.696561,NA,6071
Randsburg Wash Area,Randsburg,CA,San Bernardino,United States,Navy,Active,35.559842,-117.063871,NA,6071
Twentynine Palms,Twentynine Palms,CA,San Bernardino,United States,Marine Corps,Active,34.135797,-116.052428,NA,6071
Amphib Base Coronado East,Coronado,CA,San Diego,United States,Navy,Active,32.699235,-117.209642,NA,6073
Imperial Beach NOLF,Imperial Beach,CA,San Diego,United States,Navy,Active,32.576415,-117.116514,NA,6073
NAVBASE San Diego CA,San Diego,CA,San Diego,United States,Navy,Active,32.724103,-117.170912,NA,6073
NAVBASE Coronado,Coronado,CA,San Diego,United States,Navy,Active,32.699235,-117.209642,NA,6073
Amphib Base Coronado West,Coronado,CA,San Diego,United States,Navy,Active,32.699235,-117.209642,NA,6073
Fallbrook California,Fallbrook,CA,San Diego,United States,Navy,Active,33.376864,-117.259523,NA,6073
Warner Springs Rts,Warner Springs,CA,San Diego,United States,Navy,Active,33.28226,-116.63363,NA,6073
MCRD San Diego,San Diego,CA,San Diego,United States,Marine Corps,Active,32.724103,-117.170912,NA,6073
National City,National City,CA,San Diego,United States,Navy,Active,32.661115,-117.101359,NA,6073
MCB Camp Pendleton,Camp Pendleton,CA,San Diego,United States,Marine Corps,Active,33.387723,-117.444758,NA,6073
NG ITC Camp San Luis Obisbo,San Luis Obispo,CA,San Luis Obispo,United States,Army,Guard,35.265573,-120.62122,NA,6079
MCAS Miramar,Miramar,CA,San Mateo,United States,Marine Corps,Active,37.492996,-122.456643,NA,6081
Abraham Lincoln Capital Airport,Springfield,IL,Sangamon,United States,Air Force,Guard,39.84416667,-89.67805556,ANG,17167
Vandenberg Space Force Base,Lompoc,CA,Santa Barbara,United States,Air Force,Active,34.7325,-120.5680556,USSF,6083
Davis Monthan Air Force Base,Tucson,AZ,Santa Cruz,United States,Air Force,Active,32.16638889,-110.8830556,ACC,6087
Santa Cruz Island,Santa Cruz,CA,Santa Cruz,United States,Navy,Active,36.958936,-122.031549,NA,6087
NOLF Holley,Holley,FL,Santa Rosa,United States,Navy,Active,30.347061,-87.113185,NA,12113
Naval Air Station Whiting Field Milton FL,Milton,FL,Santa Rosa,United States,Navy,Active,30.792885,-86.985834,NA,12113
Offut Air Force Base,Bellevue,NE,Sarpy,United States,Air Force,Active,41.11944444,-95.90861111,ACC,31153
NG Camp Ashland,Ashland,NE,Saunders,United States,Army,Guard,41.0375,-96.36085,NA,31155
NG Mead TS/FMS 06/Utes 02,Mead,NE,Saunders,United States,Army,Guard,41.22778,-96.4878,NA,31155
Schenectady ANG Memorial Airport,Schenectady,NY,Schenectady,United States,Air Force,Guard,42.8525,-73.9225,ANG,36093
Fort Smith Regional Airport,Fort Smith,AR,Sebastian,United States,Air Force,NA,35.33666667,-94.3675,ANG,5131
Fort Smith Map,Fort Smith,AR,Sebastian,United States,Air Force,Guard,35.366188,-94.416458,NA,5131
McConnell Air Force Base,Wichita,KS,Sedgwick,United States,Air Force,Active,37.62305556,-97.26722222,AMC,20173
Forbes Field ANG,Topeka,KS,Shawnee,United States,Air Force,Guard,38.95111111,-95.66583333,ANG,20177
NAVSUPPACT Midsouth Memphis TN,Memphis,TN,Shelby,United States,Navy,Active,35.169255,-89.990415,NA,17173
NG Shelbyville,Shelbyville,IN,Shelby,United States,Army,Guard,39.511568,-85.791993,NA,17173
Medical Center Annex,Center,TX,Shelby,United States,Air Force,Active,31.780781,-94.235334,NA,17173
Memphis International Airport,Memphis,TN,Shelby,United States,Air Force,Guard,35.0425,-89.97666667,ANG,17173
NAVSUPPACT Hampton Roads VA,Readus,VA,Shenandoah,United States,Navy,Active,38.855946,-78.590846,NA,51171
Tulelake Radar Site,Tulelake,CA,Siskiyou,United States,Air Force,Active,41.93519,-121.58865,NA,6093
Marine Corps Museum,Marion,VA,Smyth,United States,Marine Corps,Active,36.840198,-81.527656,NA,51173
Marysville WA,Marysville,WA,Snohomish,United States,Navy,Active,48.049576,-122.161951,NA,53061
NAVSTA Everett WA,Everett,WA,Snohomish,United States,Navy,Active,47.988661,-122.199795,NA,53061
Travis Air Force Base,Fairfield,CA,Solano,United States,Air Force,Active,38.26277778,-121.9275,AMC,6095
Fairchild Air Force Base,Airway Heights,WA,Spokane,United States,Air Force,Active,47.639552,-117.646438,NA,53063
Scott Air Force Base,Belleville,IL,St. Clair,United States,Air Force,Active,38.54527778,-89.83527778,AMC,29185
NG Duluth NG Armory,Duluth,MN,St. Louis,United States,Army,Guard,47.005566,-92.001934,NA,27137
Naval Air Station Patuxent River,Patuxent River,MD,St. Mary's,United States,Navy,Active,38.285279,-76.415708,NA,24037
Riverbank AAP,Riverbank,CA,Stanislaus,United States,Army,Active,37.729282,-120.942905,NA,6099
NG St Cloud NG Armory,Saint Cloud,MN,Stearns,United States,Army,Guard,45.519196,-94.330619,NA,27145
NG St Cloud AASF,Saint Cloud,MN,Stearns,United States,Army,Guard,45.519196,-94.330619,NA,27145
NG MTA Limestone Hills,Limestone,MT,Stillwater,United States,Army,Guard,45.477717,-109.902402,NA,30095
Reno Tahoe International Airport,Reno,NV,Storey,United States,Air Force,Guard,39.49916667,-119.7680556,ANG,32029
NG Camp Smith Tng Site,Smithtown,NY,Suffolk,United States,Army,Guard,40.922326,-72.637078,NA,36103
Francis S. Gabreski Airport,Westhampton Beach,NY,Suffolk,United States,Air Force,Guard,40.83694444,-72.64222222,ANG,36103
Holston AAP,Bristol,TN,Sullivan,United States,Army,Active,36.587544,-82.187338,NA,33019
Shaw Air Force Base,Sumter,SC,Sumter,United States,Air Force,Active,33.97305556,-80.47277778,ACC,45085
NAVBASE Point Loma,Lomo,CA,Sutter,United States,Navy,Active,39.220724,-121.641635,NA,6101
Naval Air Station Fort Worth JRB TX,Fort Worth,TX,Tarrant,United States,Navy,Active,32.767064,-97.304038,NA,48439
NG Fort Worth - Shoreview,Fort Worth,TX,Tarrant,United States,Army,Guard,32.771419,-97.291484,NA,48439
NG Saginaw,Saginaw,TX,Tarrant,United States,Army,Guard,32.860128,-97.363907,NA,48439
Naval Air Station Joint Reserve Base Fort Worth,"Westworth Village, Texas",TX,Tarrant,United States,Air Force,NA,32.76916667,-97.44166667,AFRC,48439
Dyess Air Force Base,Abilene,TX,Taylor,United States,Air Force,Active,32.4193,-99.83808,AFGSC,12123
Yokota Air Force Base,Tokyo,JP,Tokyo,Japan,Air Force,Active,35.7332,139.3418,PACAF,350
Goodfellow Air Force Base,San Angelo,TX,Tom Green,United States,Air Force,Active,31.42944444,-100.3988889,AETC,48451
Dugway Proving Ground,Dugway,UT,Tooele,United States,Army,Active,40.270806,-112.689833,NA,49045
