Base,City,State,County,Country,Branch,Operational,Lat,Long,Major Command,FIPS
Rosecrans Memorial Airport,St. Joseph,MO,Buchanan,United States,Air Force,Guard,39.77194444,-94.90944444,ANG,19019
Naval Air Station Joint Reserve Base Willow Grove,"Horsham Township, Pennsylvania",PA,Bucks,United States,Air Force,NA,40.19972222,-75.14805556,ANG,42017
NG Bismarck RJB Complex,Bismarck,ND,Burleigh,United States,Army,Guard,46.816035,-100.700296,NA,38015
McGuire Air Force Base,Trenton,NJ,Burlington,United States,Air Force,Active,40.01916667,-74.52277778,NA,34005
Joint Base McGuire-Dix-Lakehurst,Trenton,NJ,Burlington,United States,Air Force,NA,40.01916667,-74.52277778,AMC,34005
Brooks Air Force Base,Briggs,TX,Burnet,United States,Air Force,Active,30.936006,-97.934579,NA,48053
NG Martindale - AASF,Martindale,TX,Caldwell,United States,Army,Guard,29.839448,-97.850842,NA,22021
W. K. Kellogg Airport,Battle Creek,MI,Calhoun,United States,Air Force,Guard,42.30722222,-85.25138889,ANG,54013
Birmingham Airport,Birmingham,AL,Calhoun,United States,Air Force,Guard,33.643851,-85.879914,NA,54013
Anniston Army Depot,Anniston,AL,Calhoun,United States,Army,Active,33.64916,-85.879642,NA,54013
Solomons Island MD,Solomons,MD,Calvert,United States,Navy,Active,38.332035,-76.46564,NA,24009
Waterfront,Waterford Works,NJ,Camden,United States,Navy,Active,39.723037,-74.836939,NA,34007
Subase Kings Bay GA,Kings Bay,GA,Camden,United States,Navy,Active,30.790547,-81.559737,NA,34007
Naval Weapons Station Earle,Erial,NJ,Camden,United States,Navy,Active,39.773448,-75.006278,NA,34007
Duluth International Airport,Duluth,MN,Carlton,United States,Air Force,Guard,47.005566,-92.001934,ANG,27017
Savanna Depot Act,Savanna,IL,Carroll,United States,Army,Active,42.09447,-90.15679,NA,51035
OLF Atlantic,Atlantic,NC,Carteret,United States,Marine Corps,Active,34.88489,-76.34047,NA,37031
Great Falls International Airport,Great Falls,MT,Cascade,United States,Air Force,Guard,47.48194444,-111.3705556,ANG,30013
Malmstrom Air Force Base,Great Falls,MT,Cascade,United States,Air Force,Active,47.50472222,-111.1872222,AFGSC,30013
NSF Indian Head,Indian Head,MD,Charles,United States,Navy,Active,38.60512,-77.17554,NA,24017
Joint Base Charleston Naval Weapons Station,Charleston,SC,Charleston,United States,Air Force,Active,32.89861111,-80.04055556,AMC,45019
Joint Base Charleston,Charleston Air Force Base,SC,Charleston,United States,Air Force,Active,32.892396,-80.076202,NA,45019
Savannah/Hilton Head International Airport,Savannah,GA,Chatham,United States,Air Force,Guard,32.1275,-81.20194444,ANG,37037
Sea Plane Base,Plain,WA,Chelan,United States,Navy,Active,47.762622,-120.657315,NA,53007
NG Spring City Readiness Center,Spring City,PA,Chester,United States,Army,Guard,40.17677,-75.54769,NA,47023
Burlington International Airport,Burlington,VT,Chittenden,United States,Air Force,Guard,44.496604,-73.227273,ANG,50007
Fort Campbell KY,Fort Campbell,KY,Christian,United States,Army,Active,36.657253,-87.458858,NA,21047
Naval Air Station Fallon NV,Fallon,NV,Churchill,United States,Navy,Active,39.479393,-118.296879,NA,32001
Kegelman Air Force Auxiliary Field,Felt,OK,Cimarron,United States,Air Force,Active,36.56753,-102.79353,NA,40025
NG Camp Withycombe Clackamas,Clackamas,OR,Clackamas,United States,Army,Guard,45.415038,-122.499461,NA,41005
NG WH Ford Regional Tng Ctr,Ford,KY,Clark,United States,Army,Guard,37.968496,-84.157766,NA,18019
Creech Air Force Base,Indian Springs,NV,Clark,United States,Air Force,Active,36.58722222,-115.6733333,ACC,18019
Nellis Air Force Base,Las Vegas,NV,Clark,United States,Air Force,Active,36.23611111,-115.0341667,ACC,18019
Springfield-Beckley Municipal Airport,Springfield,OH,Clark,United States,Air Force,Guard,39.84027778,-83.84027778,ANG,18019
Hector International Airport,Fargo,ND,Clay,United States,Air Force,Guard,46.92055556,-96.81583333,ANG,21051
Indiana Army Ammunition Plant,Poland,IN,Clay,United States,Army,Active,39.444565,-86.960667,NA,21051
NG Lexington AASF No 1,Lexington,OK,Cleveland,United States,Army,Guard,35.057992,-97.26999,NA,5025
NG Norman CSMS,Norman,OK,Cleveland,United States,Army,Guard,35.208566,-97.44451,NA,5025
Jefferson Proving Ground,Frankfort,IN,Clinton,United States,Army,Active,40.284569,-86.517004,NA,18023
Dobbins Air Reserve Base,Marietta,GA,Cobb,United States,Air Force,Reserve,33.91527778,-84.51638889,AFRC,13067
Fort Huachuca,Fort Huachuca,AZ,Cochise,United States,Army,Active,31.559131,-110.318682,NA,4003
NAVOBSSTA Flagstaff AZ,Flagstaff,AZ,Coconino,United States,Navy,Active,35.287661,-111.639303,NA,4005
Arnold Air Force Base,Tullahoma,TN,Coffee,United States,Air Force,Active,35.392585,-86.231502,AFMC,1031
Stinson 5AB Stagefield AL,Muscle Shoals,AL,Colbert,United States,Army,Active,34.790605,-87.612,NA,1033
NG TS Ike Skelton Jefferson City,Jefferson City,MO,Cole,United States,Army,Guard,38.494029,-92.165194,NA,29051
Kelly Air Force Base,Kelly,TX,Collin,United States,Air Force,Active,33.362612,-96.618879,NA,48085
Kelly Field Annex,Kelly,TX,Collin,United States,Air Force,Active,33.362612,-96.618879,NA,48085
Hancock Field,Valatie,NY,Columbia,United States,Air Force,Guard,42.398503,-73.626548,NA,5027
Canyon Lake Recreation Annex,Canyon Lake,TX,Comal,United States,Air Force,Active,29.863258,-98.255736,NA,48091
Fort Sill,Medicine Park,OK,Comanche,United States,Army,Active,34.726548,-98.499443,NA,40031
NOLF Evergreen,Evergreen,AL,Conecuh,United States,Navy,Active,31.489241,-87.052004,NA,1035
Det Concord (BRAC),Concord,CA,Contra Costa,United States,Navy,Active,37.953672,-122.022872,NA,6013
Military Ocean Terminal Concord,Concord,CA,Contra Costa,United States,Army,Active,37.953672,-122.022872,NA,6013
Glenview,Glenview,IL,Cook,United States,Navy,Active,42.072974,-87.804334,NA,17031
MCAS Cherry Point,Cherry Point,NC,Craven,United States,Marine Corps,Active,34.903793,-76.899976,NA,37049
NG Grayling Airfield,Grayling,MI,Crawford,United States,Army,Guard,44.691777,-84.612941,NA,20037
NG Cambridge Springs,Cambridge Springs,PA,Crawford,United States,Army,Guard,41.803393,-80.059383,NA,20037
NG MTC-H Camp Grayling,Grayling,MI,Crawford,United States,Army,Guard,44.691777,-84.612941,NA,20037
Pope Field,Fayetteville,NC,Cumberland,United States,Air Force,NA,35.17083333,-79.01444444,AMC,21057
NAVSUPPACT Mechanicsburg PA,Mechanicsburg,PA,Cumberland,United States,Navy,Active,40.182917,-77.004599,NA,21057
Naval Air Station Brunswick ME,Brunswick,ME,Cumberland,United States,Navy,Active,43.91172,-69.9405,NA,21057
Fort Bragg,Fort Bragg,NC,Cumberland,United States,Army,Active,35.140193,-78.987942,NA,21057
Carlisle Barracks,Carlisle,PA,Cumberland,United States,Army,Active,40.196251,-77.345217,NA,21057
Cannon Air Force Base,Clovis,NM,Curry,United States,Air Force,Active,34.38472,-103.31652,AFSOC,41015
Cannon Air Force Base Site 2,Clovis,NM,Curry,United States,Air Force,Active,34.38472,-103.31652,AFSOC,41015
Melrose Air Force Range,Melrose,NM,Curry,United States,Air Force,Active,34.50512,-103.564506,NA,41015
NG Rosemount NG Armory,Rosemount,MN,Dakota,United States,Army,Guard,44.73941,-93.12577,NA,31043
Sioux Gateway Airport (ANG),Sioux Falls,IA,Dakota,United States,Air Force,Guard,42.39833333,-96.37194444,ANG,31043
Fort Rucker AL,Fort Rucker,AL,Dale,United States,Army,Active,31.327347,-85.737811,NA,1045
Grand Prairie Reserve Complex,Grand Prairie,TX,Dallas,United States,Army,Reserve,32.742326,-96.993574,NA,19049
Hensley Field,"Grand Prairie, Texas",TX,Dallas,United States,Air Force,NA,32.74,-96.97,ANG,19049
Lackland Training Annex,Lakeland Heights,TX,Dallas,United States,Air Force,Active,32.776671,-97.009389,NA,19049
Lackland Air Force Base,Lakeland Heights,TX,Dallas,United States,Air Force,Active,32.776671,-97.009389,NA,19049
Dane County Regional Airport,"Madison, Wisconsin",WI,Dane,United States,Air Force,NA,43.13972222,-89.3375,ANG,55025
Harrisburg International Airport,"Middletown, Pennsylvania",PA,Dauphin,United States,Air Force,NA,40.19361111,-76.76333333,ANG,42043
Nashville International Airport,"Nashville, Tennessee",TN,Davidson,United States,Air Force,NA,36.12666667,-86.68194444,ANG,47037
Naval Air Stationhville International Airport,Nashville,TN,Davidson,United States,Air Force,Guard,36.165688,-86.778098,NA,47037
NG Naval Air Stationhville,Nashville,TN,Davidson,United States,Army,Guard,36.165688,-86.778098,NA,47037
NG Mitchell Complex,Mitchell,SD,Davison,United States,Army,Guard,43.69591,-98.086401,NA,46035
Buckley Space Force Base,Aurora,CO,Denver,United States,Air Force,Active,39.70166667,-104.7516667,USSF,8031
NG Bend Cotef,Bend,OR,Deschutes,United States,Army,Guard,44.082037,-121.227125,NA,41017
Fort Lee,Fort Lee,VA,Dinwiddie,United States,Army,Active,37.23503,-77.33279,NA,51053
Fort A P Hill,Ford,VA,Dinwiddie,United States,Army,Active,37.134946,-77.736402,NA,51053
MCLB Albany,Albany,GA,Dougherty,United States,Marine Corps,Active,31.560674,-84.176751,NA,13095
GL Camp JPJ,Kemp,IL,Douglas,United States,Navy,Active,39.695589,-88.185321,NA,53017
Oak Grove,Durham,NC,Durham,United States,Marine Corps,Active,35.982967,-78.806001,NA,37063
OLF Whitehouse,Whitehouse,FL,Duval,United States,Navy,Active,30.31635,-81.846215,NA,48131
NAVSTA Mayport FL,Mayport,FL,Duval,United States,Navy,Active,30.389189,-81.404408,NA,48131
Naval Air Station Jacksonville FL,Jacksonville,FL,Duval,United States,Navy,Active,30.337538,-81.768622,NA,48131
Jacksonville FL Maint,Jacksonville,FL,Duval,United States,Marine Corps,Reserve,30.337538,-81.768622,NA,48131
Camp Frank D Merrill,Marlow,GA,Effingham,United States,Army,Active,32.269087,-81.390667,NA,17049
USAF Academy,USAF Academy,CO,El Paso,United States,Air Force,Active,38.994252,-104.86375,USAFA,48141
Peterson Space Force Base,Colorado Springs,CO,El Paso,United States,Air Force,Active,38.82361111,-104.695,USSF,48141
Fort Bliss,Fort Bliss,TX,El Paso,United States,Army,Active,31.810651,-106.404743,NA,48141
Schriever Space Force Base,Colorado Springs,CO,El Paso,United States,Air Force,Active,38.80333333,-104.5255556,USSF,48141
Fort Carson,Fort Carson,CO,El Paso,United States,Army,Active,38.737494,-104.788862,NA,48141
Barin Field,Floyd,AL,Elmore,United States,Navy,Active,32.671798,-86.025021,NA,16039
Mountain Home Air Force Base,Mountain Home A F B,ID,Elmore,United States,Air Force,Active,43.04361111,-115.8725,ACC,16039
Green River Test Complex UT,Green River,UT,Emery,United States,Army,Active,38.999487,-110.157599,NA,49015
Mildenhall Royal Air Force,Suufolk,England,England,United Kingdom,Air Force,Active,52.3476,0.05156,USAFE,750
Lakenheath Royal Air Force,Suffolk,England,England,United Kingdom,Air Force,Active,52.4139,0.05221,USAFE,750
NOLF Brewton,Brewton,AL,Escambia,United States,Navy,Active,31.129427,-87.096126,NA,12033
Naval Air Station Pensacola FL,Pensacola,FL,Escambia,United States,Navy,Active,30.404006,-87.241287,NA,12033
Naval Air Station Oceana VA,Ozeana,VA,Essex,United States,Navy,Active,37.825138,-76.80135,NA,51057
Eielson Air Force Base,Fairbanks,AK,Fairbanks North Star,United States,Air Force,Active,64.6431,-147.0638,PACAF,2090
Mark Center,Alexandria,VA,Fairfax,United States,WHS,WHS,38.8303,-77.1163,NA,51059
Fort Belvoir,Fort Belvoir,VA,Fairfax,United States,Army,Active,38.714562,-77.167886,NA,51059
Langley Air Force Base,Langley Forest,VA,Fairfax,United States,Air Force,Active,38.955944,-77.178313,NA,51059
Randolph Air Force Base,Randolph,TX,Fannin,United States,Air Force,Active,33.484594,-96.254127,NA,48147
NG New Castle Readiness Center/FMS 9,Century,PA,Fayette,United States,Army,Guard,40.010352,-79.88588,NA,19065
Lone Star AAP (BRAC 2005),Lockney,TX,Floyd,United States,Army,Active,34.120149,-101.432864,NA,19067
NG Cumming,Cumming,GA,Forsyth,United States,Army,Guard,34.293049,-84.176166,NA,13117
Beightler Armory,"Columbus, Ohio",OH,Franklin,United States,Air Force,NA,40.08833333,-83.06694444,ANG,37069
Rickenbacker International Airport,Columbus,OH,Franklin,United States,Air Force,Guard,39.81361111,-82.94666667,ANG,37069
Defense Supply Center Columbus,Columbus,OH,Franklin,United States,Army,Active,40.100924,-83.013402,NA,37069
Fresno Yosemite International ANG,Fresno,CA,Fresno,United States,Air Force,Guard,36.774075,-119.781538,ANG,6019
Aviano Air Force Base,Italy,Friuli Venezia Giulia,Friuli Venezia Giulia,Italy,Air Force,Active,46.036,12.6145,USAFE,330
Toledo Express Airport,Toledo,OH,Fulton,United States,Air Force,Guard,41.58666667,-83.80777778,ANG,39051
NG Atlanta - Confederate Ave,Atlanta,GA,Fulton,United States,Army,Guard,33.844371,-84.47405,NA,39051
Vance Air Force Base,Enid,OK,Garfield,United States,Air Force,Active,36.33944444,-97.91722222,AETC,8045
Fort Riley,Fort Riley,KS,Geary,United States,Army,Active,39.113738,-96.837821,NA,20061
Highbluff Stagefield AL,Hartford,AL,Geneva,United States,Army,Active,31.16587,-85.714613,NA,1061
NG VTS Milan,Milan,TN,Gibson,United States,Army,Guard,35.920312,-88.813982,NA,18051
Milan AAP,Milan,TN,Gibson,United States,Army,Active,35.933935,-88.762546,NA,18051
NALF Goliad,Goliad,TX,Goliad,United States,Navy,Active,28.664092,-97.460854,NA,48175
Grand Forks Air Force Base,Grand Forks,ND,Grand Forks,United States,Air Force,Active,47.96111111,-97.40111111,AMC,38035
Grand Forks Defense Fuel Support Point,Grand Forks,ND,Grand Forks,United States,Air Force,Active,47.96111111,-97.40111111,AMC,38035
NG MTA Camp Butner,Butner,NC,Granville,United States,Army,Guard,36.13209,-78.75667,NA,37077
NG Springfield AVCRAD (New),Springfield,MO,Greene,United States,Army,Guard,37.25807,-93.343673,NA,42059
Wright-Patterson Air Force Base,Dayton,OH,Greene,United States,Air Force,Active,39.82305556,-84.04944444,AFMC,42059
NG Camp Sherman Joint Training Center,Center,OH,Guernsey,United States,Army,Guard,40.06396,-81.529009,NA,39059
NG Camp Ravenna Joint Military Training Center,Center,OH,Guernsey,United States,Army,Guard,40.06396,-81.529009,NA,39059
NG Camp Perry Joint Training Center,Center,OH,Guernsey,United States,Army,Guard,40.06396,-81.529009,NA,39059
Osan Air Force Base,Gyeonggi,KR,Gyeonggi,South Korea,Air Force,Active,37.0885,127.0338,PACAF,651
NG Grand Island AASF/RC,Grand Island,NE,Hall,United States,Army,Guard,40.87227,-98.368698,NA,13139
Barnes Municipal Airport,Westfield,MA,Hampden,United States,Air Force,Guard,42.16555556,-72.72055556,ANG,25013
Westover Air Reserve Base,Chicopee,MA,Hampden,United States,Air Force,Reserve,42.19388889,-72.53472222,AFRC,25013
Joint Base Langley Eustis,Hampton,VA,Hampton [9],United States,Air Force,NA,37.08277778,-76.36055556,ACC,51650
Chanute Air Force Base,Ferris,IL,Hancock,United States,Air Force,Active,40.46893,-91.17042,NA,19081
Fort Knox,Fort Knox,KY,Hardin,United States,Army,Active,37.899466,-85.952833,NA,19083
NG Rio Rancho TS,Roy,NM,Harding,United States,Army,Guard,35.93873,-104.195805,NA,35021
Joe Foss Field,Vessey,SD,Harding,United States,Air Force,Guard,45.84774,-103.362052,NA,35021
Aberdeen Proving Ground,Aberdeen Proving Ground,MD,Harford,United States,Army,Active,39.487368,-76.139675,NA,24025
Fort Detrick Forest Glen Annex,Forest Greens,MD,Harford,United States,Army,Active,39.457054,-76.228844,NA,24025
NG MTA Gunpowder Military Reservation,Gunpowder,MD,Harford,United States,Army,Guard,39.380158,-76.295468,NA,24025
NG Havre De Grace Military Res,Havre De Grace,MD,Harford,United States,Army,Guard,39.560095,-76.15517,NA,24025
NG MTA Camp Rilea,Riley,OR,Harney,United States,Army,Guard,43.54154,-119.50384,NA,41025
Ellington Airport,"Houston, Texas",TX,Harris,United States,Air Force,NA,29.60722222,-95.15888889,ANG,13145
