Base,State,CONUS/OCONUS,Wing,Group,Unit
Ft Meade,MD,CONUS,67 CW,67 COG,315 COS
Ft Meade,MD,CONUS,67 CW,67 COG,315 COS OL D 
Ft Meade,MD,CONUS,67 CW,318 COG,DET 3
Ft Meade,MD,CONUS,67 CW,318 COG,OL A 
Ft Meade,MD,CONUS,70 ISRW,HQ,HQ
Ft Meade,MD,CONUS,70 ISRW,HQ,70 OSS
Ft Meade,MD,CONUS,70 ISRW,HQ,70 OSS OL A
Ft Meade,MD,CONUS,70 ISRW,659 ISRG ,GR HQ
Ft Meade,MD,CONUS,70 ISRW,659 ISRG ,7 IS
Ft Meade,MD,CONUS,70 ISRW,659 ISRG ,41 IS
Ft Meade,MD,CONUS,70 ISRW,691 ISRG,GR HQ
Ft Meade,MD,CONUS,70 ISRW,691 ISRG,22 IS
Ft Meade,MD,CONUS,70 ISRW,691 ISRG,22 IS OL D
Ft Meade,MD,CONUS,70 ISRW,691 ISRG,29 IS
Ft Meade,MD,CONUS,70 ISRW,691 ISRG,34 IS 
Ft Meade,MD,CONUS,70 ISRW,707 ISRG ,GR HQ
Ft Meade,MD,CONUS,70 ISRW,707 ISRG ,32 IS 
Ft Meade,MD,CONUS,70 ISRW,707 ISRG ,94 IS 
Ft Meade,MD,CONUS,70 ISRW,707 ISRG ,707 CS 
Ft Meade,MD,CONUS,70 ISRW,707 ISRG ,707 FSS
Ft Meade,MD,CONUS,688 CW,26 COG,688 NWS OL D
Ft Meade,MD,CONUS,16 AF,HQ,DET 1 
Ft Meade,MD,CONUS,16 AF,HQ,OL A 
Ft Meade,MD,CONUS,16 AF,HQ,OL C
Goodfellow Air Force Base,TX,CONUS,70 ISRW,543 ISRG,93 IS OL FO
Grand Forks Air Force Base,ND,CONUS,319 RW,HQ,HQ
Grand Forks Air Force Base,ND,CONUS,319 RW,HQ,319 CPTS 
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MDG,GR HQ
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MDG,319 HCOS
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MDG,319 ORMS
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MSG,GR HQ
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MSG,319 CES
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MSG,319 CS
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MSG,319 CON FLT
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MSG,319 FSS
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MSG,319 LRS
Grand Forks Air Force Base,ND,CONUS,319 RW,319 MSG,319 SFS
Grand Forks Air Force Base,ND,CONUS,319 RW,319 OG,GR HQ
Grand Forks Air Force Base,ND,CONUS,319 RW,319 OG,DET 2 OL A
Grand Forks Air Force Base,ND,CONUS,319 RW,319 OG,319 AMXS 
Grand Forks Air Force Base,ND,CONUS,319 RW,319 OG,319 OSS
Grand Forks Air Force Base,ND,CONUS,319 RW,319 OG,348 RS
Greenville City ,TX,CONUS,363 ISRG,361 ISRG,OL E 
Hamilton City ,MA,CONUS,557 WW,2 WXG,2 WS DET 2
Herdon ,VA,CONUS,70 ISRW,659 ISRG ,7 IS OL HN
Holloman Air Force Base,NM,CONUS,557 WW,2 WXG,2 WS DET 4
Hurlburt Field,FL,CONUS,67 CW,318 COG,39 IOS 
Hurlburt Field,FL,CONUS,363 ISRG,HQ,HQ
Hurlburt Field,FL,CONUS,363 ISRG,361 ISRG,GR HQ
Hurlburt Field,FL,CONUS,363 ISRG,361 ISRG,OL A 
Hurlburt Field,FL,CONUS,363 ISRG,361 ISRG,25 IS
Hurlburt Field,FL,CONUS,363 ISRG,361 ISRG,306 IS OL H
Hurlburt Field,FL,CONUS,557 WW,2 WXG,2 CWSS 
Hurlburt Field,FL,CONUS,688 CW,26 COG,688 NWS OL C
Joint Base Andrews-Naval Air Facility Washington,MD,CONUS,688 CW,690 COG,83 NOS OL B 
Elmendorf Air Force Base,AK,OCONUS,70 ISRW,373 ISRG,GR HQ
Elmendorf Air Force Base,AK,OCONUS,70 ISRW,373 ISRG,301 IS 
Elmendorf Air Force Base,AK,OCONUS,70 ISRW,373 ISRG,381 IS 
Joint Base Langley Eustis,VA,CONUS,363 ISRG,363 ISRG,GR HQ
Joint Base Langley Eustis,VA,CONUS,363 ISRG,363 ISRG,17 IS 
Joint Base Langley Eustis,VA,CONUS,363 ISRG,363 ISRG,36 IS
Joint Base Langley Eustis,VA,CONUS,363 ISRG,363 ISRG,363 ISS 
Joint Base Langley Eustis,VA,CONUS,363 ISRG,365 ISRG,15 IS
Joint Base Langley Eustis,VA,CONUS,480 ISRW,HQ,HQ
Joint Base Langley Eustis,VA,CONUS,480 ISRW,HQ,27 IS 
Joint Base Langley Eustis,VA,CONUS,480 ISRW,497 ISRG,GR HQ
Joint Base Langley Eustis,VA,CONUS,480 ISRW,497 ISRG,10 IS
Joint Base Langley Eustis,VA,CONUS,480 ISRW,497 ISRG,30 IS 
Joint Base Langley Eustis,VA,CONUS,480 ISRW,497 ISRG,45 IS 
Joint Base Langley Eustis,VA,CONUS,480 ISRW,497 ISRG,497 OSS 
Joint Base Langley Eustis,VA,CONUS,557 WW,2 WXG,2 WSS OL B 
Joint Base Langley Eustis,VA,CONUS,688 CW,690 COG,83 NOS
Joint Base Pearl Harbor-Hickam,HI,OCONUS,67 CW,67 COG,352 COS
Joint Base Pearl Harbor-Hickam,HI,OCONUS,70 ISRW,659 ISRG ,37 IS 
Joint Base Pearl Harbor-Hickam,HI,OCONUS,480 ISRW,692 ISRG,GR HQ
Joint Base Pearl Harbor-Hickam,HI,OCONUS,480 ISRW,692 ISRG,8 IS
Joint Base Pearl Harbor-Hickam,HI,OCONUS,480 ISRW,692 ISRG,324 IS
Joint Base Pearl Harbor-Hickam,HI,OCONUS,480 ISRW,692 ISRG,392 IS 
Joint Base Pearl Harbor-Hickam,HI,OCONUS,480 ISRW,692 ISRG,392 IS DET 1
Joint Base Pearl Harbor-Hickam,HI,OCONUS,480 ISRW,692 ISRG,792 ISS 
Joint Base Pearl Harbor-Hickam,HI,OCONUS,557 WW,1 WXG,17 OWS 
Joint Base Pearl Harbor-Hickam,HI,OCONUS,688 CW,690 COG,690 COS
Joint Base San Antonio,TX,CONUS,67 CW,HQ,HQ
Joint Base San Antonio,TX,CONUS,67 CW,HQ,67 OSS
Joint Base San Antonio,TX,CONUS,67 CW,67 COG,GR HQ
Joint Base San Antonio,TX,CONUS,67 CW,67 COG,OL A 
Joint Base San Antonio,TX,CONUS,67 CW,67 COG,91  COS
Joint Base San Antonio,TX,CONUS,67 CW,318 COG,GR HQ
Joint Base San Antonio,TX,CONUS,67 CW,318 COG,39 IOS DET 1
Joint Base San Antonio,TX,CONUS,67 CW,318 COG,90 COS
Joint Base San Antonio,TX,CONUS,67 CW,318 COG,318 RANGE SQ
Joint Base San Antonio,TX,CONUS,67 CW,318 COG,346 TEST SQ
Joint Base San Antonio,TX,CONUS,67 CW,567 COG,92 COS 
Joint Base San Antonio,TX,CONUS,67 CW,567 COG,833 COS 
Joint Base San Antonio,TX,CONUS,67 CW,567 COG,834 COS
Joint Base San Antonio,TX,CONUS,67 CW,567 COG,836 COS
Joint Base San Antonio,TX,CONUS,70 ISRW,543 ISRG,GR HQ
Joint Base San Antonio,TX,CONUS,70 ISRW,543 ISRG,93 IS 
Joint Base San Antonio,TX,CONUS,70 ISRW,543 ISRG,531 IS
Joint Base San Antonio,TX,CONUS,70 ISRW,543 ISRG,668 ALIS 
Joint Base San Antonio,TX,CONUS,70 ISRW,659 ISRG ,35 IS
Joint Base San Antonio,TX,CONUS,70 ISRW,659 ISRG ,75 IS
Joint Base San Antonio,TX,CONUS,363 ISRG,365 ISRG,57 IS 
Joint Base San Antonio,TX,CONUS,688 CW,HQ,HQ
Joint Base San Antonio,TX,CONUS,688 CW,HQ,688 OSS
Joint Base San Antonio,TX,CONUS,688 CW,26 COG,GR HQ
Joint Base San Antonio,TX,CONUS,688 CW,26 COG,33 NWS 
Joint Base San Antonio,TX,CONUS,688 CW,26 COG,68 NWS
Joint Base San Antonio,TX,CONUS,688 CW,38 CEIG,38 CONS
Joint Base San Antonio,TX,CONUS,688 CW,690 COG,GR HQ
Joint Base San Antonio,TX,CONUS,688 CW,690 COG,690 ISS
Joint Base San Antonio,TX,CONUS,688 CW,690 COG,690 ISS OL B
Joint Base San Antonio,TX,CONUS,16 AF,HQ,HQ
Joint Base San Antonio,TX,CONUS,16 AF,HQ,DET 1 OL A 
Joint Base San Antonio,TX,CONUS,16 AF,HQ,616 ACOMS
Joint Base San Antonio,TX,CONUS,16 AF,HQ,616 ASUS 
Joint Base San Antonio,TX,CONUS,16 AF,HQ,616 OC 
Joint Base San Antonio,TX,CONUS,16 AF,HQ,OL JR
Kadena Air Base Station,JP,OCONUS,55 WG,55 OG,82 RS 
Kadena Air Base Station,JP,OCONUS,55 WG,55 OG,390 IS
Kadena Air Base Station,JP,OCONUS,363 ISRG,361 ISRG,43 IS DET 1
Kaena Point ,HI,OCONUS,557 WW,2 WXG,2 WS DET 5
Kapaun  ,DE,OCONUS,557 WW,1 WXG,21 OWS
Keesler Air Force Base,MS,CONUS,688 CW,38 CEIG,85 EIS
Key West  ,FL,CONUS,70 ISRW,543 ISRG,93 IS OL C
Learmonth City ,AU,OCONUS,557 WW,2 WXG,2 WS DET 1 
MacDill Air Force Base,FL,CONUS,70 ISRW,691 ISRG,22 IS OL QB
MacDill Air Force Base,FL,CONUS,363 ISRG,361 ISRG,OL C
Mainz-Kastel ,DE,OCONUS,480 ISRW,693 ISRG,485 IS 
Maxwell Air Force Base,AL,CONUS,688 CW,26 COG,26 NOS
Mclean City ,VA,CONUS,70 ISRW,691 ISRG,29 IS OL A
Miami City ,FL,CONUS,70 ISRW,543 ISRG,93 IS OL A
Mildenhall Air Base Station,UK,OCONUS,55 WG,55 OG,95 RS
Mildenhall Air Base Station,UK,OCONUS,55 WG,55 OG,488 IS
Mildenhall Air Base Station,UK,OCONUS,363 ISRG,361 ISRG,25 IS DET 1
Millington City ,TN,CONUS,AFTAC,709 SPTG,OL MT 
Molesworth ,UK,OCONUS,480 ISRW,693 ISRG,402 IS OL RM
Nellis Air Force Base,NV,CONUS,67 CW,318 COG,DET 2 
Nellis Air Force Base,NV,CONUS,363 ISRG,365 ISRG,GR HQ
Nellis Air Force Base,NV,CONUS,363 ISRG,365 ISRG,526 IS
Nellis Air Force Base,NV,CONUS,363 ISRG,365 ISRG,526 IS OL A
Nellis Air Force Base,NV,CONUS,363 ISRG,365 ISRG,547 IS
Offutt Air Force Base,NE,CONUS,55 WG,HQ,HQ
Offutt Air Force Base,NE,CONUS,55 WG,HQ,55 CPTS
Offutt Air Force Base,NE,CONUS,55 WG,55 CG,GR HQ
Offutt Air Force Base,NE,CONUS,55 WG,55 CG,55 CS
Offutt Air Force Base,NE,CONUS,55 WG,55 CG,55 SCS 
Offutt Air Force Base,NE,CONUS,55 WG,55 MXG,GR HQ
Offutt Air Force Base,NE,CONUS,55 WG,55 MXG,55 AMXS
Offutt Air Force Base,NE,CONUS,55 WG,55 MXG,55 MXS
Offutt Air Force Base,NE,CONUS,55 WG,55 MDG,GR HQ
Offutt Air Force Base,NE,CONUS,55 WG,55 MDG,55 AMDS
Offutt Air Force Base,NE,CONUS,55 WG,55 MDG,55 DS
Offutt Air Force Base,NE,CONUS,55 WG,55 MDG,55 MDOS
Offutt Air Force Base,NE,CONUS,55 WG,55 MDG,55 MDSS 
Offutt Air Force Base,NE,CONUS,55 WG,55 MSG,GR HQ
Offutt Air Force Base,NE,CONUS,55 WG,55 MSG,55 CES
Offutt Air Force Base,NE,CONUS,55 WG,55 MSG,55 CONS
Offutt Air Force Base,NE,CONUS,55 WG,55 MSG,55 FSS
Offutt Air Force Base,NE,CONUS,55 WG,55 MSG,55 LRS
Offutt Air Force Base,NE,CONUS,55 WG,55 MSG,55 SFS
Offutt Air Force Base,NE,CONUS,55 WG,55 OG,38 RS
Offutt Air Force Base,NE,CONUS,55 WG,55 OG,45 RS
Offutt Air Force Base,NE,CONUS,55 WG,55 OG,55 ISS
Offutt Air Force Base,NE,CONUS,55 WG,55 OG,55 OSS
Offutt Air Force Base,NE,CONUS,55 WG,55 OG,97 IS 
Offutt Air Force Base,NE,CONUS,55 WG,55 OG,338 CMBT TNG SQ
Offutt Air Force Base,NE,CONUS,55 WG,55 OG,343 RS 
Offutt Air Force Base,NE,CONUS,70 ISRW,691 ISRG,22 IS OL FS
